,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,206.0,224.0,215.0,Quintal,20944.0,20944.0,20944.0
2013-01-03,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-04,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-05,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-06,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-07,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-08,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-09,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,208.0,225.0,216.5,Quintal,20889.0,20889.0,20889.0
2013-01-10,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-11,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-12,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-13,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-14,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-15,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-16,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,216.0,232.0,224.0,Quintal,20500.0,20500.0,20500.0
2013-01-17,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-18,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-19,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-20,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-21,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-22,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-23,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,211.0,227.0,219.0,Quintal,20417.0,20417.0,20417.0
2013-01-24,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-25,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-26,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-27,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-28,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-29,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-01-30,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,209.0,225.0,217.0,Quintal,20154.0,20154.0,20154.0
2013-01-31,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-01,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-02,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-03,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-04,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-05,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-06,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,208.0,224.0,216.0,Quintal,18892.0,18892.0,18892.0
2013-02-07,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-08,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-09,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-10,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-11,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-12,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-13,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,208.0,225.0,216.5,Quintal,18882.0,18882.0,18882.0
2013-02-14,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-15,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-16,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-17,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-18,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-19,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,,,,Quintal,,,
2013-02-20,Betel Nut/Betel Leaf,Dry Betel Nut-Superior Quality,Kilogram,204.0,221.0,212.5,Quintal,20350.0,20350.0,20350.0
