,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2019-05-29,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-05-30,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-05-31,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-01,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-02,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-03,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-04,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-05,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-06,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-07,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-08,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-09,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-10,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-11,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-12,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-13,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-14,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-15,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-16,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-17,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-18,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-19,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-20,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-21,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-22,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-23,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-24,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-25,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-26,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-27,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-06-28,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-29,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-06-30,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-01,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-02,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-03,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-04,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-05,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-07-06,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-07-07,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-08,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-09,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-10,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-11,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-12,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-07-13,Dal,Arhar (Pigeon Peas),Kilogram,,,,Quintal,,,
2019-07-14,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-15,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
2019-07-16,Dal,Arhar (Pigeon Peas),Kilogram,36.0,38.0,37.0,Quintal,3500.0,3500.0,3500.0
