,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Dal,Gram (broken),Kilogram,91.0,95.0,93.0,Quintal,8810.0,8810.0,8810.0
2013-01-03,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-04,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-08,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-09,Dal,Gram (broken),Kilogram,88.0,92.0,90.0,Quintal,8620.0,8620.0,8620.0
2013-01-10,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-11,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-15,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-16,Dal,Gram (broken),Kilogram,87.0,90.0,88.5,Quintal,8464.0,8464.0,8464.0
2013-01-17,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-18,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-22,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-23,Dal,Gram (broken),Kilogram,86.0,90.0,88.0,Quintal,8255.0,8255.0,8255.0
2013-01-24,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-28,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-29,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-01-30,Dal,Gram (broken),Kilogram,84.0,88.0,86.0,Quintal,8075.0,8075.0,8075.0
2013-01-31,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-01,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-06,Dal,Gram (broken),Kilogram,84.0,88.0,86.0,Quintal,8142.0,8142.0,8142.0
2013-02-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-08,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-11,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-13,Dal,Gram (broken),Kilogram,82.0,86.0,84.0,Quintal,8086.0,8086.0,8086.0
2013-02-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-15,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-16,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-17,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-18,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-20,Dal,Gram (broken),Kilogram,82.0,87.0,84.5,Quintal,8109.0,8109.0,8109.0
2013-02-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-22,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-23,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-24,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-02-27,Dal,Gram (broken),Kilogram,82.0,86.0,84.0,Quintal,8178.0,8178.0,8178.0
2013-02-28,Dal,Gram (broken),Kilogram,76.0,80.0,78.0,Quintal,7000.0,7000.0,7000.0
2013-03-01,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-02,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-03,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-04,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-06,Dal,Gram (broken),Kilogram,82.0,86.0,84.0,Quintal,8191.0,8191.0,8191.0
2013-03-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-08,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-09,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-10,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-11,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-13,Dal,Gram (broken),Kilogram,80.0,84.0,82.0,Quintal,7964.0,7964.0,7964.0
2013-03-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-15,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-16,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-17,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-18,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-20,Dal,Gram (broken),Kilogram,80.0,83.0,81.5,Quintal,7800.0,7800.0,7800.0
2013-03-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-22,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-23,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-24,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-27,Dal,Gram (broken),Kilogram,78.0,82.0,80.0,Quintal,7670.0,7670.0,7670.0
2013-03-28,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-29,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-30,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-03-31,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-01,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-02,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-03,Dal,Gram (broken),Kilogram,77.0,81.0,79.0,Quintal,7740.0,7740.0,7740.0
2013-04-04,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-06,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-08,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-09,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-10,Dal,Gram (broken),Kilogram,78.0,82.0,80.0,Quintal,7770.0,7770.0,7770.0
2013-04-11,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-13,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-15,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-16,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-17,Dal,Gram (broken),Kilogram,77.0,81.0,79.0,Quintal,7750.0,7750.0,7750.0
2013-04-18,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-20,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-22,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-23,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-24,Dal,Gram (broken),Kilogram,78.0,81.0,79.5,Quintal,7800.0,7800.0,7800.0
2013-04-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-27,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-28,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-29,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-04-30,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-01,Dal,Gram (broken),Kilogram,70.0,72.0,71.0,Quintal,6950.0,6950.0,6950.0
2013-05-02,Dal,Gram (broken),Kilogram,82.0,86.0,84.0,Quintal,8020.0,8020.0,8020.0
2013-05-03,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-04,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-06,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-08,Dal,Gram (broken),Kilogram,78.0,81.0,79.5,Quintal,7840.0,7840.0,7840.0
2013-05-09,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-10,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-11,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-13,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-15,Dal,Gram (broken),Kilogram,78.0,82.0,80.0,Quintal,7882.0,7882.0,7882.0
2013-05-16,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-17,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-18,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-20,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-22,Dal,Gram (broken),Kilogram,81.0,84.0,82.5,Quintal,8030.0,8030.0,8030.0
2013-05-23,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-24,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-27,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-28,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-29,Dal,Gram (broken),Kilogram,77.0,82.0,79.5,Quintal,7557.0,7557.0,7557.0
2013-05-30,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-05-31,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-01,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-02,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-03,Dal,Gram (broken),Kilogram,76.0,80.0,78.0,Quintal,7200.0,7200.0,7200.0
2013-06-04,Dal,Gram (broken),Kilogram,76.0,80.0,78.0,Quintal,7200.0,7200.0,7200.0
2013-06-05,Dal,Gram (broken),Kilogram,81.0,85.0,83.0,Quintal,7973.0,7973.0,7973.0
2013-06-06,Dal,Gram (broken),Kilogram,68.0,71.0,69.5,Quintal,6950.0,6950.0,6950.0
2013-06-07,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-08,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-09,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-10,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-11,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-12,Dal,Gram (broken),Kilogram,78.0,82.0,80.0,Quintal,7732.0,7732.0,7732.0
2013-06-13,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-14,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-15,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-16,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-17,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-18,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7600.0,7600.0,7600.0
2013-06-19,Dal,Gram (broken),Kilogram,78.0,131.0,104.5,Quintal,7656.0,7656.0,7656.0
2013-06-20,Dal,Gram (broken),Kilogram,,,,Quintal,7400.0,7400.0,7400.0
2013-06-21,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-22,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-23,Dal,Gram (broken),Kilogram,75.0,346.0,210.5,Quintal,7600.0,7600.0,7600.0
2013-06-24,Dal,Gram (broken),Kilogram,78.0,482.0,280.0,Quintal,7600.0,7600.0,7600.0
2013-06-25,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-26,Dal,Gram (broken),Kilogram,77.0,82.0,79.5,Quintal,7705.0,7705.0,7705.0
2013-06-27,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7800.0,7800.0,7800.0
2013-06-28,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-29,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-06-30,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7700.0,7700.0,7700.0
2013-07-01,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7700.0,7700.0,7700.0
2013-07-02,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7700.0,7700.0,7700.0
2013-07-03,Dal,Gram (broken),Kilogram,77.0,82.0,79.5,Quintal,7708.0,7708.0,7708.0
2013-07-04,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7800.0,7800.0,7800.0
2013-07-05,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-06,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-07,Dal,Gram (broken),Kilogram,77.0,80.0,78.5,Quintal,7300.0,7300.0,7300.0
2013-07-08,Dal,Gram (broken),Kilogram,75.0,78.0,76.5,Quintal,7700.0,7700.0,7700.0
2013-07-09,Dal,Gram (broken),Kilogram,75.0,78.0,76.5,Quintal,7400.0,7400.0,7400.0
2013-07-10,Dal,Gram (broken),Kilogram,77.0,82.0,79.5,Quintal,7871.0,7871.0,7871.0
2013-07-11,Dal,Gram (broken),Kilogram,75.0,78.0,76.5,Quintal,7050.0,7050.0,7050.0
2013-07-12,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-13,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-14,Dal,Gram (broken),Kilogram,75.0,77.0,76.0,Quintal,7400.0,7400.0,7400.0
2013-07-15,Dal,Gram (broken),Kilogram,69.0,71.0,70.0,Quintal,7400.0,7400.0,7400.0
2013-07-16,Dal,Gram (broken),Kilogram,2250.0,2318.0,2284.0,Quintal,7400.0,7400.0,7400.0
2013-07-17,Dal,Gram (broken),Kilogram,550.0,567.0,558.5,Quintal,7506.0,7506.0,7506.0
2013-07-18,Dal,Gram (broken),Kilogram,2449.0,2517.0,2483.0,Quintal,7300.0,7300.0,7300.0
2013-07-19,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-20,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-21,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-22,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7000.0,7000.0,7000.0
2013-07-23,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-24,Dal,Gram (broken),Kilogram,73.0,77.0,75.0,Quintal,7406.0,7406.0,7406.0
2013-07-25,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-26,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-27,Dal,Gram (broken),Kilogram,,,,Quintal,,,
2013-07-28,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-29,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-30,Dal,Gram (broken),Kilogram,73.0,75.0,74.0,Quintal,7300.0,7300.0,7300.0
2013-07-31,Dal,Gram (broken),Kilogram,71.0,75.0,73.0,Quintal,7200.0,7200.0,7200.0
