,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7400.0,7400.0,7400.0
2013-01-02,Dal,Gram (whole),Kilogram,89.0,92.0,90.5,Quintal,8175.0,8175.0,8175.0
2013-01-03,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-04,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-07,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-08,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-09,Dal,Gram (whole),Kilogram,86.0,90.0,88.0,Quintal,7875.0,7875.0,7875.0
2013-01-10,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-11,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-14,Dal,Gram (whole),Kilogram,85.0,95.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-15,Dal,Gram (whole),Kilogram,84.0,92.0,88.0,Quintal,7600.0,7600.0,7600.0
2013-01-16,Dal,Gram (whole),Kilogram,85.0,89.0,87.0,Quintal,8290.0,8290.0,8290.0
2013-01-17,Dal,Gram (whole),Kilogram,82.0,90.0,86.0,Quintal,7600.0,7600.0,7600.0
2013-01-18,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7500.0,7500.0,7500.0
2013-01-21,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7500.0,7500.0,7500.0
2013-01-22,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-01-23,Dal,Gram (whole),Kilogram,84.0,88.0,86.0,Quintal,8175.0,8175.0,8175.0
2013-01-24,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-01-25,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-01-28,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-01-29,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-01-30,Dal,Gram (whole),Kilogram,84.0,87.0,85.5,Quintal,8008.0,8008.0,8008.0
2013-01-31,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7600.0,7600.0,7600.0
2013-02-01,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7400.0,7400.0,7400.0
2013-02-05,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7400.0,7400.0,7400.0
2013-02-06,Dal,Gram (whole),Kilogram,81.0,85.0,83.0,Quintal,7650.0,7650.0,7650.0
2013-02-07,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7400.0,7400.0,7400.0
2013-02-08,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Gram (whole),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Gram (whole),Kilogram,80.0,90.0,85.0,Quintal,7400.0,7400.0,7400.0
