,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2015-06-16,Dal,Khesari,Kilogram,48.0,50.0,49.0,Quintal,4800.0,4800.0,4800.0
2015-06-17,Dal,Khesari,Kilogram,53.0,56.0,54.5,Quintal,4700.0,4700.0,4700.0
2015-06-18,Dal,Khesari,Kilogram,52.0,53.0,52.5,Quintal,,,
2015-06-19,Dal,Khesari,Kilogram,,,,Quintal,4000.0,4000.0,4000.0
2015-06-20,Dal,Khesari,Kilogram,44.0,46.0,45.0,Quintal,,,
2015-06-21,Dal,Khesari,Kilogram,51.0,52.0,51.5,Quintal,4400.0,4400.0,4400.0
2015-06-22,Dal,Khesari,Kilogram,46.0,48.0,47.0,Quintal,4550.0,4550.0,4550.0
2015-06-23,Dal,Khesari,Kilogram,49.0,50.0,49.5,Quintal,4700.0,4700.0,4700.0
2015-06-24,Dal,Khesari,Kilogram,49.0,51.0,50.0,Quintal,4550.0,4550.0,4550.0
2015-06-25,Dal,Khesari,Kilogram,51.0,52.0,51.5,Quintal,4633.0,4633.0,4633.0
2015-06-26,Dal,Khesari,Kilogram,,,,Quintal,,,
2015-06-27,Dal,Khesari,Kilogram,44.0,46.0,45.0,Quintal,,,
2015-06-28,Dal,Khesari,Kilogram,50.0,51.0,50.5,Quintal,4650.0,4650.0,4650.0
2015-06-29,Dal,Khesari,Kilogram,50.0,52.0,51.0,Quintal,4633.0,4633.0,4633.0
2015-06-30,Dal,Khesari,Kilogram,50.0,51.0,50.5,Quintal,4550.0,4550.0,4550.0
2015-07-01,Dal,Khesari,Kilogram,49.0,51.0,50.0,Quintal,4633.0,4633.0,4633.0
2015-07-02,Dal,Khesari,Kilogram,49.0,50.0,49.5,Quintal,4633.0,4633.0,4633.0
2015-07-03,Dal,Khesari,Kilogram,,,,Quintal,,,
2015-07-04,Dal,Khesari,Kilogram,44.0,46.0,45.0,Quintal,,,
2015-07-05,Dal,Khesari,Kilogram,49.0,51.0,50.0,Quintal,4725.0,4725.0,4725.0
2015-07-06,Dal,Khesari,Kilogram,50.0,52.0,51.0,Quintal,4850.0,4850.0,4850.0
2015-07-07,Dal,Khesari,Kilogram,48.0,49.0,48.5,Quintal,4750.0,4750.0,4750.0
2015-07-08,Dal,Khesari,Kilogram,49.0,52.0,50.5,Quintal,4733.0,4733.0,4733.0
2015-07-09,Dal,Khesari,Kilogram,49.0,51.0,50.0,Quintal,4727.0,4727.0,4727.0
