,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-07-17,Dal,Lentils - Desi,Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2023-07-18,Dal,Lentils - Desi,Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2023-07-19,Dal,Lentils - Desi,Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2023-07-20,Dal,Lentils - Desi,Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2023-07-21,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-07-22,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-07-23,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12350.0,12350.0,12350.0
2023-07-24,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12353.0,12353.0,12353.0
2023-07-25,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12313.0,12313.0,12313.0
2023-07-26,Dal,Lentils - Desi,Kilogram,126.0,133.0,129.5,Quintal,12380.0,12380.0,12380.0
2023-07-27,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12331.0,12331.0,12331.0
2023-07-28,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-07-29,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-07-30,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12331.0,12331.0,12331.0
2023-07-31,Dal,Lentils - Desi,Kilogram,126.0,132.0,129.0,Quintal,12333.0,12333.0,12333.0
2023-08-01,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,11608.0,11608.0,11608.0
2023-08-02,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,11625.0,11625.0,11625.0
2023-08-03,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,11571.0,11571.0,11571.0
2023-08-04,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-08-05,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-08-06,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12382.0,12382.0,12382.0
2023-08-07,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12375.0,12375.0,12375.0
2023-08-08,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12382.0,12382.0,12382.0
2023-08-09,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12365.0,12365.0,12365.0
2023-08-10,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12371.0,12371.0,12371.0
2023-08-11,Dal,Lentils - Desi,Kilogram,130.0,140.0,135.0,Quintal,13000.0,13000.0,13000.0
2023-08-12,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-08-13,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12371.0,12371.0,12371.0
2023-08-14,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12394.0,12394.0,12394.0
2023-08-15,Dal,Lentils - Desi,Kilogram,128.0,135.0,131.5,Quintal,12500.0,12500.0,12500.0
2023-08-16,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12412.0,12412.0,12412.0
2023-08-17,Dal,Lentils - Desi,Kilogram,125.0,132.0,128.5,Quintal,12378.0,12378.0,12378.0
2023-08-18,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-08-19,Dal,Lentils - Desi,Kilogram,,,,Quintal,,,
2023-08-20,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12406.0,12406.0,12406.0
2023-08-21,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12367.0,12367.0,12367.0
2023-08-22,Dal,Lentils - Desi,Kilogram,125.0,133.0,129.0,Quintal,12380.0,12380.0,12380.0
