,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Dal,Mash (broken),Kilogram,86.0,88.0,87.0,Quintal,8169.0,8169.0,8169.0
2013-01-03,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-04,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-07,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-08,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-09,Dal,Mash (broken),Kilogram,88.0,91.0,89.5,Quintal,8475.0,8475.0,8475.0
2013-01-10,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-11,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-14,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-15,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-16,Dal,Mash (broken),Kilogram,88.0,91.0,89.5,Quintal,8344.0,8344.0,8344.0
2013-01-17,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-18,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-21,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-22,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-23,Dal,Mash (broken),Kilogram,87.0,90.0,88.5,Quintal,8219.0,8219.0,8219.0
2013-01-24,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-25,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-28,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-29,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-01-30,Dal,Mash (broken),Kilogram,87.0,91.0,89.0,Quintal,8217.0,8217.0,8217.0
2013-01-31,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-01,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-05,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-06,Dal,Mash (broken),Kilogram,86.0,90.0,88.0,Quintal,8213.0,8213.0,8213.0
2013-02-07,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-08,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-11,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-12,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-13,Dal,Mash (broken),Kilogram,85.0,89.0,87.0,Quintal,8236.0,8236.0,8236.0
2013-02-14,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-15,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-16,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-17,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-18,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-19,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-20,Dal,Mash (broken),Kilogram,87.0,90.0,88.5,Quintal,8205.0,8205.0,8205.0
2013-02-21,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-22,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-23,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-24,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-25,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-26,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-02-27,Dal,Mash (broken),Kilogram,86.0,90.0,88.0,Quintal,8300.0,8300.0,8300.0
2013-02-28,Dal,Mash (broken),Kilogram,90.0,92.0,91.0,Quintal,8100.0,8100.0,8100.0
2013-03-01,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-03-02,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-03-03,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-03-04,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-03-05,Dal,Mash (broken),Kilogram,,,,Quintal,,,
2013-03-06,Dal,Mash (broken),Kilogram,86.0,90.0,88.0,Quintal,8257.0,8257.0,8257.0
2013-03-07,Dal,Mash (broken),Kilogram,,,,Quintal,,,
