,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-02,Dal,Mash (whole),Kilogram,86.0,89.0,87.5,Quintal,8533.0,8533.0,8533.0
2013-01-03,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-04,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-07,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-08,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-09,Dal,Mash (whole),Kilogram,85.0,89.0,87.0,Quintal,8533.0,8533.0,8533.0
2013-01-10,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-11,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8600.0,8600.0,8600.0
2013-01-14,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-15,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-16,Dal,Mash (whole),Kilogram,85.0,89.0,87.0,Quintal,8560.0,8560.0,8560.0
2013-01-17,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-18,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-21,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-22,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-23,Dal,Mash (whole),Kilogram,85.0,89.0,87.0,Quintal,8540.0,8540.0,8540.0
2013-01-24,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8300.0,8300.0,8300.0
2013-01-25,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8300.0,8300.0,8300.0
2013-01-28,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8300.0,8300.0,8300.0
2013-01-29,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-01-30,Dal,Mash (whole),Kilogram,83.0,87.0,85.0,Quintal,8340.0,8340.0,8340.0
2013-01-31,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-02-01,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-02-05,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-02-06,Dal,Mash (whole),Kilogram,82.0,88.0,85.0,Quintal,8680.0,8680.0,8680.0
2013-02-07,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-02-08,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,7800.0,7800.0,7800.0
2013-02-11,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,7800.0,7800.0,7800.0
2013-02-12,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-13,Dal,Mash (whole),Kilogram,80.0,83.0,81.5,Quintal,8700.0,8700.0,8700.0
2013-02-14,Dal,Mash (whole),Kilogram,85.0,100.0,92.5,Quintal,7800.0,7800.0,7800.0
2013-02-15,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-16,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-17,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-18,Dal,Mash (whole),Kilogram,85.0,100.0,92.5,Quintal,7800.0,7800.0,7800.0
2013-02-19,Dal,Mash (whole),Kilogram,85.0,100.0,92.5,Quintal,7800.0,7800.0,7800.0
2013-02-20,Dal,Mash (whole),Kilogram,82.0,89.0,85.5,Quintal,8380.0,8380.0,8380.0
2013-02-21,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-22,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-23,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-24,Dal,Mash (whole),Kilogram,85.0,100.0,92.5,Quintal,7800.0,7800.0,7800.0
2013-02-25,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-02-26,Dal,Mash (whole),Kilogram,85.0,100.0,92.5,Quintal,7500.0,7500.0,7500.0
2013-02-27,Dal,Mash (whole),Kilogram,79.0,87.0,83.0,Quintal,7975.0,7975.0,7975.0
2013-02-28,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,7000.0,7000.0,7000.0
2013-03-01,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-03-02,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-03-03,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,,,
2013-03-04,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,,,
2013-03-05,Dal,Mash (whole),Kilogram,,,,Quintal,,,
2013-03-06,Dal,Mash (whole),Kilogram,80.0,85.0,82.5,Quintal,8283.0,8283.0,8283.0
2013-03-07,Dal,Mash (whole),Kilogram,90.0,100.0,95.0,Quintal,,,
2013-03-08,Dal,Mash (whole),Kilogram,,,,Quintal,,,
