,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,13900.0,13900.0,13900.0
2013-01-02,Dal,Masur (Imported) Superior quality,Kilogram,118.0,123.0,120.5,Quintal,11373.0,11373.0,11373.0
2013-01-03,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,13900.0,13900.0,13900.0
2013-01-04,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-05,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-06,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,13900.0,13900.0,13900.0
2013-01-07,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,14000.0,14000.0,14000.0
2013-01-08,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,14000.0,14000.0,14000.0
2013-01-09,Dal,Masur (Imported) Superior quality,Kilogram,118.0,124.0,121.0,Quintal,11413.0,11413.0,11413.0
2013-01-10,Dal,Masur (Imported) Superior quality,Kilogram,142.0,145.0,143.5,Quintal,14000.0,14000.0,14000.0
2013-01-11,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-12,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-13,Dal,Masur (Imported) Superior quality,Kilogram,142.0,145.0,143.5,Quintal,14000.0,14000.0,14000.0
2013-01-14,Dal,Masur (Imported) Superior quality,Kilogram,144.0,145.0,144.5,Quintal,14000.0,14000.0,14000.0
2013-01-15,Dal,Masur (Imported) Superior quality,Kilogram,144.0,145.0,144.5,Quintal,14200.0,14200.0,14200.0
2013-01-16,Dal,Masur (Imported) Superior quality,Kilogram,120.0,125.0,122.5,Quintal,11333.0,11333.0,11333.0
2013-01-17,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,14200.0,14200.0,14200.0
2013-01-18,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-19,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-20,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-21,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-22,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,14100.0,14100.0,14100.0
2013-01-23,Dal,Masur (Imported) Superior quality,Kilogram,120.0,124.0,122.0,Quintal,11700.0,11700.0,11700.0
2013-01-24,Dal,Masur (Imported) Superior quality,Kilogram,142.0,146.0,144.0,Quintal,14000.0,14000.0,14000.0
2013-01-25,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-26,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-01-27,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-28,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-29,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-30,Dal,Masur (Imported) Superior quality,Kilogram,120.0,127.0,123.5,Quintal,11888.0,11888.0,11888.0
2013-01-31,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-02-01,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-02,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-03,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-04,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-02-05,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-02-06,Dal,Masur (Imported) Superior quality,Kilogram,118.0,125.0,121.5,Quintal,11571.0,11571.0,11571.0
2013-02-07,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,13600.0,13600.0,13600.0
2013-02-08,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-09,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-10,Dal,Masur (Imported) Superior quality,Kilogram,142.0,148.0,145.0,Quintal,13600.0,13600.0,13600.0
2013-02-11,Dal,Masur (Imported) Superior quality,Kilogram,144.0,148.0,146.0,Quintal,13800.0,13800.0,13800.0
2013-02-12,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-13,Dal,Masur (Imported) Superior quality,Kilogram,116.0,123.0,119.5,Quintal,11529.0,11529.0,11529.0
2013-02-14,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,13500.0,13500.0,13500.0
2013-02-15,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-16,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-17,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-18,Dal,Masur (Imported) Superior quality,Kilogram,144.0,148.0,146.0,Quintal,13500.0,13500.0,13500.0
2013-02-19,Dal,Masur (Imported) Superior quality,Kilogram,144.0,146.0,145.0,Quintal,13550.0,13550.0,13550.0
2013-02-20,Dal,Masur (Imported) Superior quality,Kilogram,118.0,126.0,122.0,Quintal,11943.0,11943.0,11943.0
2013-02-21,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-22,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-23,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-24,Dal,Masur (Imported) Superior quality,Kilogram,143.0,146.0,144.5,Quintal,13550.0,13550.0,13550.0
2013-02-25,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-02-26,Dal,Masur (Imported) Superior quality,Kilogram,140.0,142.0,141.0,Quintal,13300.0,13300.0,13300.0
2013-02-27,Dal,Masur (Imported) Superior quality,Kilogram,120.0,127.0,123.5,Quintal,11792.0,11792.0,11792.0
2013-02-28,Dal,Masur (Imported) Superior quality,Kilogram,135.0,141.0,138.0,Quintal,13100.0,13100.0,13100.0
2013-03-01,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-02,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-03,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,,,
2013-03-04,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,,,
2013-03-05,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-06,Dal,Masur (Imported) Superior quality,Kilogram,118.0,123.0,120.5,Quintal,11867.0,11867.0,11867.0
2013-03-07,Dal,Masur (Imported) Superior quality,Kilogram,140.0,145.0,142.5,Quintal,,,
2013-03-08,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-09,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-10,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
2013-03-11,Dal,Masur (Imported) Superior quality,Kilogram,,,,Quintal,,,
