,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13500.0,13500.0,13500.0
2013-01-02,Dal,Masur (Imported) ordinary,Kilogram,85.0,91.0,88.0,Quintal,8040.0,8040.0,8040.0
2013-01-03,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13500.0,13500.0,13500.0
2013-01-04,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-05,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-06,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13500.0,13500.0,13500.0
2013-01-07,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13500.0,13500.0,13500.0
2013-01-08,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13500.0,13500.0,13500.0
2013-01-09,Dal,Masur (Imported) ordinary,Kilogram,85.0,93.0,89.0,Quintal,8146.0,8146.0,8146.0
2013-01-10,Dal,Masur (Imported) ordinary,Kilogram,135.0,138.0,136.5,Quintal,13400.0,13400.0,13400.0
2013-01-11,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-12,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-13,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13500.0,13500.0,13500.0
2013-01-14,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-15,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-16,Dal,Masur (Imported) ordinary,Kilogram,81.0,89.0,85.0,Quintal,7740.0,7740.0,7740.0
2013-01-17,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-18,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-19,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-20,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-21,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-22,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13500.0,13500.0,13500.0
2013-01-23,Dal,Masur (Imported) ordinary,Kilogram,81.0,90.0,85.5,Quintal,8227.0,8227.0,8227.0
2013-01-24,Dal,Masur (Imported) ordinary,Kilogram,136.0,140.0,138.0,Quintal,13400.0,13400.0,13400.0
2013-01-25,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-26,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-01-27,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13600.0,13600.0,13600.0
2013-01-28,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13600.0,13600.0,13600.0
2013-01-29,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13600.0,13600.0,13600.0
2013-01-30,Dal,Masur (Imported) ordinary,Kilogram,81.0,89.0,85.0,Quintal,8213.0,8213.0,8213.0
2013-01-31,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13600.0,13600.0,13600.0
2013-02-01,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-02,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-03,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-04,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13600.0,13600.0,13600.0
2013-02-05,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13600.0,13600.0,13600.0
2013-02-06,Dal,Masur (Imported) ordinary,Kilogram,84.0,91.0,87.5,Quintal,8293.0,8293.0,8293.0
2013-02-07,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13400.0,13400.0,13400.0
2013-02-08,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-09,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-10,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13200.0,13200.0,13200.0
2013-02-11,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13200.0,13200.0,13200.0
2013-02-12,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-13,Dal,Masur (Imported) ordinary,Kilogram,87.0,95.0,91.0,Quintal,7808.0,7808.0,7808.0
2013-02-14,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13200.0,13200.0,13200.0
2013-02-15,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-16,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-17,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-18,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13200.0,13200.0,13200.0
2013-02-19,Dal,Masur (Imported) ordinary,Kilogram,138.0,140.0,139.0,Quintal,13200.0,13200.0,13200.0
2013-02-20,Dal,Masur (Imported) ordinary,Kilogram,90.0,100.0,95.0,Quintal,8400.0,8400.0,8400.0
2013-02-21,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-22,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-23,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-24,Dal,Masur (Imported) ordinary,Kilogram,135.0,140.0,137.5,Quintal,13200.0,13200.0,13200.0
2013-02-25,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-02-26,Dal,Masur (Imported) ordinary,Kilogram,130.0,138.0,134.0,Quintal,13000.0,13000.0,13000.0
2013-02-27,Dal,Masur (Imported) ordinary,Kilogram,88.0,95.0,91.5,Quintal,8317.0,8317.0,8317.0
2013-02-28,Dal,Masur (Imported) ordinary,Kilogram,105.0,126.0,115.5,Quintal,11050.0,11050.0,11050.0
2013-03-01,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-02,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-03,Dal,Masur (Imported) ordinary,Kilogram,130.0,136.0,133.0,Quintal,,,
2013-03-04,Dal,Masur (Imported) ordinary,Kilogram,130.0,136.0,133.0,Quintal,,,
2013-03-05,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-06,Dal,Masur (Imported) ordinary,Kilogram,87.0,95.0,91.0,Quintal,8277.0,8277.0,8277.0
2013-03-07,Dal,Masur (Imported) ordinary,Kilogram,125.0,134.0,129.5,Quintal,,,
2013-03-08,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-09,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-10,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-11,Dal,Masur (Imported) ordinary,Kilogram,,,,Quintal,,,
2013-03-12,Dal,Masur (Imported) ordinary,Kilogram,120.0,130.0,125.0,Quintal,,,
