,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Dal,Masur (broken) local,Kilogram,82.0,86.0,84.0,Quintal,8695.0,8695.0,8695.0
2013-01-03,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-04,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-05,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-06,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-07,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-08,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-09,Dal,Masur (broken) local,Kilogram,83.0,87.0,85.0,Quintal,8470.0,8470.0,8470.0
2013-01-10,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-11,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-12,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-13,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-14,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-15,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-16,Dal,Masur (broken) local,Kilogram,85.0,89.0,87.0,Quintal,8625.0,8625.0,8625.0
2013-01-17,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-18,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-19,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-20,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-21,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-22,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-23,Dal,Masur (broken) local,Kilogram,92.0,96.0,94.0,Quintal,8143.0,8143.0,8143.0
2013-01-24,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-25,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-26,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-27,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-28,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-29,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
2013-01-30,Dal,Masur (broken) local,Kilogram,92.0,96.0,94.0,Quintal,8171.0,8171.0,8171.0
2013-01-31,Dal,Masur (broken) local,Kilogram,,,,Quintal,,,
