,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7200.0,7200.0,7200.0
2013-01-02,Dal,Masur (whole) local,Kilogram,121.0,126.0,123.5,Quintal,11650.0,11650.0,11650.0
2013-01-03,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7100.0,7100.0,7100.0
2013-01-04,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-05,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-06,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7100.0,7100.0,7100.0
2013-01-07,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7100.0,7100.0,7100.0
2013-01-08,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7100.0,7100.0,7100.0
2013-01-09,Dal,Masur (whole) local,Kilogram,120.0,126.0,123.0,Quintal,11629.0,11629.0,11629.0
2013-01-10,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7200.0,7200.0,7200.0
2013-01-11,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-12,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-13,Dal,Masur (whole) local,Kilogram,70.0,80.0,75.0,Quintal,7500.0,7500.0,7500.0
2013-01-14,Dal,Masur (whole) local,Kilogram,72.0,80.0,76.0,Quintal,7400.0,7400.0,7400.0
2013-01-15,Dal,Masur (whole) local,Kilogram,72.0,80.0,76.0,Quintal,7400.0,7400.0,7400.0
2013-01-16,Dal,Masur (whole) local,Kilogram,121.0,126.0,123.5,Quintal,11896.0,11896.0,11896.0
2013-01-17,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7400.0,7400.0,7400.0
2013-01-18,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-19,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-20,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-21,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-22,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-23,Dal,Masur (whole) local,Kilogram,116.0,120.0,118.0,Quintal,11646.0,11646.0,11646.0
2013-01-24,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-25,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-26,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
2013-01-27,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-28,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-29,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-01-30,Dal,Masur (whole) local,Kilogram,116.0,120.0,118.0,Quintal,11550.0,11550.0,11550.0
2013-01-31,Dal,Masur (whole) local,Kilogram,75.0,80.0,77.5,Quintal,7500.0,7500.0,7500.0
2013-02-01,Dal,Masur (whole) local,Kilogram,,,,Quintal,,,
