,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Dal,Motar (Peas)-local,Kilogram,81.0,84.0,82.5,Quintal,7050.0,7050.0,7050.0
2013-01-03,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-04,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-05,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-06,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-07,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-08,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-09,Dal,Motar (Peas)-local,Kilogram,81.0,84.0,82.5,Quintal,7050.0,7050.0,7050.0
2013-01-10,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-11,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-12,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-13,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-14,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-15,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-16,Dal,Motar (Peas)-local,Kilogram,81.0,84.0,82.5,Quintal,7050.0,7050.0,7050.0
2013-01-17,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-18,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-19,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-20,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-21,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-22,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-23,Dal,Motar (Peas)-local,Kilogram,87.0,89.0,88.0,Quintal,7050.0,7050.0,7050.0
2013-01-24,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-25,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-26,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-27,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-28,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-29,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-01-30,Dal,Motar (Peas)-local,Kilogram,82.0,84.0,83.0,Quintal,7333.0,7333.0,7333.0
2013-01-31,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-02-01,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-02-02,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-02-03,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-02-04,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
2013-02-05,Dal,Motar (Peas)-local,Kilogram,,,,Quintal,,,
