,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Dal,Mung (imported),Kilogram,90.0,94.0,92.0,Quintal,9000.0,9000.0,9000.0
2013-01-03,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-04,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-07,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-08,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-09,Dal,Mung (imported),Kilogram,92.0,98.0,95.0,Quintal,9311.0,9311.0,9311.0
2013-01-10,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-11,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-14,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-15,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-16,Dal,Mung (imported),Kilogram,93.0,98.0,95.5,Quintal,9225.0,9225.0,9225.0
2013-01-17,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-18,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-21,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-22,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-23,Dal,Mung (imported),Kilogram,91.0,95.0,93.0,Quintal,9050.0,9050.0,9050.0
2013-01-24,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-25,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-28,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-29,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-01-30,Dal,Mung (imported),Kilogram,93.0,98.0,95.5,Quintal,9156.0,9156.0,9156.0
2013-01-31,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-01,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-05,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-06,Dal,Mung (imported),Kilogram,92.0,96.0,94.0,Quintal,9217.0,9217.0,9217.0
2013-02-07,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-08,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-11,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-12,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-13,Dal,Mung (imported),Kilogram,94.0,99.0,96.5,Quintal,9350.0,9350.0,9350.0
2013-02-14,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-15,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-16,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-17,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-18,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-19,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-20,Dal,Mung (imported),Kilogram,97.0,102.0,99.5,Quintal,9438.0,9438.0,9438.0
2013-02-21,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-22,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-23,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-24,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-25,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-26,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-02-27,Dal,Mung (imported),Kilogram,96.0,102.0,99.0,Quintal,8975.0,8975.0,8975.0
2013-02-28,Dal,Mung (imported),Kilogram,110.0,120.0,115.0,Quintal,10500.0,10500.0,10500.0
2013-03-01,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-02,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-03,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-04,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-05,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-06,Dal,Mung (imported),Kilogram,97.0,104.0,100.5,Quintal,10157.0,10157.0,10157.0
2013-03-07,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-08,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-09,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-10,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-11,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-12,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-13,Dal,Mung (imported),Kilogram,105.0,110.0,107.5,Quintal,9869.0,9869.0,9869.0
2013-03-14,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-15,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-16,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-17,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-18,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-19,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-20,Dal,Mung (imported),Kilogram,107.0,113.0,110.0,Quintal,10157.0,10157.0,10157.0
2013-03-21,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-22,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-23,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-24,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-25,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-26,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-27,Dal,Mung (imported),Kilogram,97.0,102.0,99.5,Quintal,8964.0,8964.0,8964.0
2013-03-28,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-29,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-30,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-03-31,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-01,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-02,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-03,Dal,Mung (imported),Kilogram,108.0,114.0,111.0,Quintal,9969.0,9969.0,9969.0
2013-04-04,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-05,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-06,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-07,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-08,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-09,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-10,Dal,Mung (imported),Kilogram,107.0,113.0,110.0,Quintal,10129.0,10129.0,10129.0
2013-04-11,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-12,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-13,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-14,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-15,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-16,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-17,Dal,Mung (imported),Kilogram,109.0,114.0,111.5,Quintal,9944.0,9944.0,9944.0
2013-04-18,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-19,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-20,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-21,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-22,Dal,Mung (imported),Kilogram,,,,Quintal,,,
2013-04-23,Dal,Mung (imported),Kilogram,,,,Quintal,,,
