,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-02,Dal,Mung (local),Kilogram,115.0,126.0,120.5,Quintal,11512.0,11512.0,11512.0
2013-01-03,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-04,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-05,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-06,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-07,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-08,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-09,Dal,Mung (local),Kilogram,116.0,126.0,121.0,Quintal,11556.0,11556.0,11556.0
2013-01-10,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11200.0,11200.0,11200.0
2013-01-11,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-12,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-13,Dal,Mung (local),Kilogram,90.0,120.0,105.0,Quintal,11300.0,11300.0,11300.0
2013-01-14,Dal,Mung (local),Kilogram,95.0,120.0,107.5,Quintal,11500.0,11500.0,11500.0
2013-01-15,Dal,Mung (local),Kilogram,95.0,120.0,107.5,Quintal,11500.0,11500.0,11500.0
2013-01-16,Dal,Mung (local),Kilogram,118.0,127.0,122.5,Quintal,11753.0,11753.0,11753.0
2013-01-17,Dal,Mung (local),Kilogram,100.0,120.0,110.0,Quintal,11500.0,11500.0,11500.0
2013-01-18,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-19,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-20,Dal,Mung (local),Kilogram,105.0,120.0,112.5,Quintal,11500.0,11500.0,11500.0
2013-01-21,Dal,Mung (local),Kilogram,105.0,120.0,112.5,Quintal,11500.0,11500.0,11500.0
2013-01-22,Dal,Mung (local),Kilogram,105.0,120.0,112.5,Quintal,11500.0,11500.0,11500.0
2013-01-23,Dal,Mung (local),Kilogram,117.0,127.0,122.0,Quintal,11681.0,11681.0,11681.0
2013-01-24,Dal,Mung (local),Kilogram,106.0,120.0,113.0,Quintal,11200.0,11200.0,11200.0
2013-01-25,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-26,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-01-27,Dal,Mung (local),Kilogram,108.0,125.0,116.5,Quintal,12200.0,12200.0,12200.0
2013-01-28,Dal,Mung (local),Kilogram,110.0,130.0,120.0,Quintal,12000.0,12000.0,12000.0
2013-01-29,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,12000.0,12000.0,12000.0
2013-01-30,Dal,Mung (local),Kilogram,118.0,127.0,122.5,Quintal,11833.0,11833.0,11833.0
2013-01-31,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,12000.0,12000.0,12000.0
2013-02-01,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-02,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-03,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-04,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,12000.0,12000.0,12000.0
2013-02-05,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,12000.0,12000.0,12000.0
2013-02-06,Dal,Mung (local),Kilogram,118.0,128.0,123.0,Quintal,11606.0,11606.0,11606.0
2013-02-07,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11600.0,11600.0,11600.0
2013-02-08,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-09,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-10,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11600.0,11600.0,11600.0
2013-02-11,Dal,Mung (local),Kilogram,112.0,125.0,118.5,Quintal,11500.0,11500.0,11500.0
2013-02-12,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-13,Dal,Mung (local),Kilogram,119.0,129.0,124.0,Quintal,11113.0,11113.0,11113.0
2013-02-14,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11500.0,11500.0,11500.0
2013-02-15,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-16,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-17,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-18,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11500.0,11500.0,11500.0
2013-02-19,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11500.0,11500.0,11500.0
2013-02-20,Dal,Mung (local),Kilogram,117.0,129.0,123.0,Quintal,11743.0,11743.0,11743.0
2013-02-21,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-22,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-23,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-24,Dal,Mung (local),Kilogram,110.0,125.0,117.5,Quintal,11500.0,11500.0,11500.0
2013-02-25,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-02-26,Dal,Mung (local),Kilogram,110.0,122.0,116.0,Quintal,10400.0,10400.0,10400.0
2013-02-27,Dal,Mung (local),Kilogram,117.0,128.0,122.5,Quintal,11675.0,11675.0,11675.0
2013-02-28,Dal,Mung (local),Kilogram,120.0,129.0,124.5,Quintal,11300.0,11300.0,11300.0
2013-03-01,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-02,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-03,Dal,Mung (local),Kilogram,110.0,122.0,116.0,Quintal,,,
2013-03-04,Dal,Mung (local),Kilogram,110.0,122.0,116.0,Quintal,,,
2013-03-05,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-06,Dal,Mung (local),Kilogram,116.0,128.0,122.0,Quintal,11600.0,11600.0,11600.0
2013-03-07,Dal,Mung (local),Kilogram,110.0,122.0,116.0,Quintal,,,
2013-03-08,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-09,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-10,Dal,Mung (local),Kilogram,,,,Quintal,,,
2013-03-11,Dal,Mung (local),Kilogram,,,,Quintal,,,
