,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-02,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,870.0,870.0,870.0
2013-01-03,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-04,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-05,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-06,Egg,Egg Farm-Red,4 Pieces,36.0,40.0,38.0,100 pieces,880.0,880.0,880.0
2013-01-07,Egg,Egg Farm-Red,4 Pieces,36.0,40.0,38.0,100 pieces,880.0,880.0,880.0
2013-01-08,Egg,Egg Farm-Red,4 Pieces,36.0,40.0,38.0,100 pieces,880.0,880.0,880.0
2013-01-09,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,1353.0,1353.0,1353.0
2013-01-10,Egg,Egg Farm-Red,4 Pieces,36.0,39.0,37.5,100 pieces,880.0,880.0,880.0
2013-01-11,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-12,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-13,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-14,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-15,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-16,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,872.0,872.0,872.0
2013-01-17,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-18,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-19,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-20,Egg,Egg Farm-Red,4 Pieces,37.0,38.0,37.5,100 pieces,880.0,880.0,880.0
2013-01-21,Egg,Egg Farm-Red,4 Pieces,37.0,38.0,37.5,100 pieces,880.0,880.0,880.0
2013-01-22,Egg,Egg Farm-Red,4 Pieces,37.0,38.0,37.5,100 pieces,880.0,880.0,880.0
2013-01-23,Egg,Egg Farm-Red,4 Pieces,36.0,37.0,36.5,100 pieces,866.0,866.0,866.0
2013-01-24,Egg,Egg Farm-Red,4 Pieces,36.0,38.0,37.0,100 pieces,880.0,880.0,880.0
2013-01-25,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
2013-01-26,Egg,Egg Farm-Red,4 Pieces,,,,100 pieces,,,
