,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,980.0,980.0,980.0
2013-01-02,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,941.0,941.0,941.0
2013-01-03,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,1000.0,1000.0,1000.0
2013-01-04,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-05,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-06,Egg,Egg Hen-Local,4 Pieces,40.0,45.0,42.5,100 pieces,1000.0,1000.0,1000.0
2013-01-07,Egg,Egg Hen-Local,4 Pieces,40.0,45.0,42.5,100 pieces,1000.0,1000.0,1000.0
2013-01-08,Egg,Egg Hen-Local,4 Pieces,40.0,45.0,42.5,100 pieces,1000.0,1000.0,1000.0
2013-01-09,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,942.0,942.0,942.0
2013-01-10,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,1000.0,1000.0,1000.0
2013-01-11,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-12,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-13,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,1000.0,1000.0,1000.0
2013-01-14,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-01-15,Egg,Egg Hen-Local,4 Pieces,42.0,45.0,43.5,100 pieces,1000.0,1000.0,1000.0
2013-01-16,Egg,Egg Hen-Local,4 Pieces,40.0,41.0,40.5,100 pieces,940.0,940.0,940.0
2013-01-17,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-18,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-19,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-20,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-21,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-22,Egg,Egg Hen-Local,4 Pieces,43.0,44.0,43.5,100 pieces,1000.0,1000.0,1000.0
2013-01-23,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,941.0,941.0,941.0
2013-01-24,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-01-25,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-26,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-01-27,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-28,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-29,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-01-30,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,937.0,937.0,937.0
2013-01-31,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-02-01,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-02,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-03,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-04,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-02-05,Egg,Egg Hen-Local,4 Pieces,43.0,45.0,44.0,100 pieces,1000.0,1000.0,1000.0
2013-02-06,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,938.0,938.0,938.0
2013-02-07,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-02-08,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-09,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-10,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-02-11,Egg,Egg Hen-Local,4 Pieces,42.0,43.0,42.5,100 pieces,1000.0,1000.0,1000.0
2013-02-12,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-13,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,932.0,932.0,932.0
2013-02-14,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-02-15,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-16,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-17,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-18,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-02-19,Egg,Egg Hen-Local,4 Pieces,42.0,44.0,43.0,100 pieces,1000.0,1000.0,1000.0
2013-02-20,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,922.0,922.0,922.0
2013-02-21,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-22,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-23,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-24,Egg,Egg Hen-Local,4 Pieces,40.0,45.0,42.5,100 pieces,960.0,960.0,960.0
2013-02-25,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-02-26,Egg,Egg Hen-Local,4 Pieces,40.0,42.0,41.0,100 pieces,960.0,960.0,960.0
2013-02-27,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,928.0,928.0,928.0
2013-02-28,Egg,Egg Hen-Local,4 Pieces,39.0,41.0,40.0,100 pieces,895.0,895.0,895.0
2013-03-01,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-02,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-03,Egg,Egg Hen-Local,4 Pieces,40.0,42.0,41.0,100 pieces,960.0,960.0,960.0
2013-03-04,Egg,Egg Hen-Local,4 Pieces,40.0,42.0,41.0,100 pieces,960.0,960.0,960.0
2013-03-05,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-06,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,931.0,931.0,931.0
2013-03-07,Egg,Egg Hen-Local,4 Pieces,40.0,42.0,41.0,100 pieces,960.0,960.0,960.0
2013-03-08,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-09,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-10,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-11,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-12,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,960.0,960.0,960.0
2013-03-13,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,934.0,934.0,934.0
2013-03-14,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-15,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-16,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-17,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-18,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-19,Egg,Egg Hen-Local,4 Pieces,40.0,44.0,42.0,100 pieces,960.0,960.0,960.0
2013-03-20,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,923.0,923.0,923.0
2013-03-21,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-22,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-23,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-24,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-25,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-26,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-27,Egg,Egg Hen-Local,4 Pieces,38.0,39.0,38.5,100 pieces,921.0,921.0,921.0
2013-03-28,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-29,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-30,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-03-31,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-01,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-02,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-03,Egg,Egg Hen-Local,4 Pieces,38.0,39.0,38.5,100 pieces,894.0,894.0,894.0
2013-04-04,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-05,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-06,Egg,Egg Hen-Local,4 Pieces,,,,100 pieces,,,
2013-04-07,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,950.0,950.0,950.0
2013-04-08,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,950.0,950.0,950.0
2013-04-09,Egg,Egg Hen-Local,4 Pieces,38.0,40.0,39.0,100 pieces,950.0,950.0,950.0
