,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2019-09-04,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-05,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-06,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,,,,1 Bag (50kg),,,
2019-09-07,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,,,,1 Bag (50kg),,,
2019-09-08,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-09,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-10,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,,,,1 Bag (50kg),,,
2019-09-11,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-12,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-13,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,,,,1 Bag (50kg),,,
2019-09-14,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,,,,1 Bag (50kg),,,
2019-09-15,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-16,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
2019-09-17,Fertilizer,Chemical Fertilizer - S. S. P (Local) - Powder,Kilogram,24.0,26.0,25.0,1 Bag (50kg),1150.0,1150.0,1150.0
