,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-06-07,Fertilizer,Compost Manure - Cow Dung,Kilogram,3.0,4.0,3.5,1 Bag (50kg),100.0,100.0,100.0
2017-06-08,Fertilizer,Compost Manure - Cow Dung,Kilogram,3.0,4.0,3.5,1 Bag (50kg),100.0,100.0,100.0
2017-06-09,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-10,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-11,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-12,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-13,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-14,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-15,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-16,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-17,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-18,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-19,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-20,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-21,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-22,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-23,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-24,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-25,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-26,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-27,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-28,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-29,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-06-30,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-07-01,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-07-02,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
2017-07-03,Fertilizer,Compost Manure - Cow Dung,Kilogram,,,,1 Bag (50kg),,,
