,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-01-03,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-04,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-05,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-06,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-07,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-08,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-09,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-01-10,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-11,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-12,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-13,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-14,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-15,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-16,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-01-17,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-18,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-19,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-20,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-21,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-22,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-23,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-01-24,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-25,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-26,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-27,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-28,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-29,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-01-30,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-01-31,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-01,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-02,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-03,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-04,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-05,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-06,Fibre,Cotton (Comilla),Kilogram,145.0,170.0,157.5,Quintal,18000.0,18000.0,18000.0
2013-02-07,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-08,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-09,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-10,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-11,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-12,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-13,Fibre,Cotton (Comilla),Kilogram,140.0,165.0,152.5,Quintal,17500.0,17500.0,17500.0
2013-02-14,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-15,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-16,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-17,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-18,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-19,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-20,Fibre,Cotton (Comilla),Kilogram,140.0,165.0,152.5,Quintal,17500.0,17500.0,17500.0
2013-02-21,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-22,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-23,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-24,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-25,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-26,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-02-27,Fibre,Cotton (Comilla),Kilogram,140.0,165.0,152.5,Quintal,17500.0,17500.0,17500.0
2013-02-28,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-01,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-02,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-03,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-04,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-05,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-06,Fibre,Cotton (Comilla),Kilogram,140.0,165.0,152.5,Quintal,17500.0,17500.0,17500.0
2013-03-07,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-08,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-09,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-10,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-11,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-12,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-13,Fibre,Cotton (Comilla),Kilogram,140.0,165.0,152.5,Quintal,17500.0,17500.0,17500.0
2013-03-14,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-15,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-16,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-17,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-18,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-19,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-20,Fibre,Cotton (Comilla),Kilogram,130.0,155.0,142.5,Quintal,17000.0,17000.0,17000.0
2013-03-21,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-22,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-23,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-24,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-25,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-26,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-27,Fibre,Cotton (Comilla),Kilogram,130.0,155.0,142.5,Quintal,17000.0,17000.0,17000.0
2013-03-28,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-29,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-30,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-03-31,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-01,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-02,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-03,Fibre,Cotton (Comilla),Kilogram,130.0,155.0,142.5,Quintal,17000.0,17000.0,17000.0
2013-04-04,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-05,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-06,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-07,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-08,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-09,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-10,Fibre,Cotton (Comilla),Kilogram,130.0,155.0,142.5,Quintal,17000.0,17000.0,17000.0
2013-04-11,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-12,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-13,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-14,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-15,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-16,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-17,Fibre,Cotton (Comilla),Kilogram,130.0,155.0,142.5,Quintal,17000.0,17000.0,17000.0
2013-04-18,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-19,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-20,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-21,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-22,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-23,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-24,Fibre,Cotton (Comilla),Kilogram,125.0,150.0,137.5,Quintal,16500.0,16500.0,16500.0
2013-04-25,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-26,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-27,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-28,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-29,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-04-30,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-01,Fibre,Cotton (Comilla),Kilogram,125.0,150.0,137.5,Quintal,13000.0,13000.0,13000.0
2013-05-02,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,20000.0,20000.0,20000.0
2013-05-03,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-04,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-05,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-06,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-07,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-08,Fibre,Cotton (Comilla),Kilogram,120.0,160.0,140.0,Quintal,16500.0,16500.0,16500.0
2013-05-09,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-10,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-11,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-12,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-13,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-14,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-15,Fibre,Cotton (Comilla),Kilogram,120.0,160.0,140.0,Quintal,20000.0,20000.0,20000.0
2013-05-16,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-17,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-18,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-19,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-20,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
2013-05-21,Fibre,Cotton (Comilla),Kilogram,,,,Quintal,,,
