,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2019-09-25,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-09-26,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-09-27,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-09-28,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-09-29,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-09-30,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-01,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-02,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-10-03,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-04,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-05,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-06,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-07,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-08,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-09,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-10,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-11,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-12,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-13,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-14,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-15,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-16,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-10-17,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-18,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-19,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-20,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-21,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-22,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-23,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-10-24,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-25,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-26,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-27,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-28,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-29,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-30,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-10-31,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-01,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-02,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-03,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-04,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-05,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-06,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-11-07,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-08,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-09,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-10,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-11,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-12,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-13,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-11-14,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-15,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-16,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-17,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-18,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-19,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-20,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-11-21,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-22,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-23,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-24,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-25,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-26,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-27,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-11-28,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-29,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-11-30,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-01,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-02,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-03,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-04,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,3500.0,3500.0,3500.0
2019-12-05,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-06,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-07,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-08,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
2019-12-09,Fibre,Mesta Cotton (Shan - Sunhemp),Kilogram,,,,Quintal,,,
