,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-09-19,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-20,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-21,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-09-22,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-09-23,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-09-24,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-25,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-26,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-27,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-09-28,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-09-29,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-09-30,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-10-01,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-02,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-03,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-04,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-05,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-06,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-10-07,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-10-08,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-09,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-10,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-11,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-12,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-13,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-10-14,Fibre,Mesta,Kilogram,,,,Quintal,,,
2023-10-15,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2023-10-16,Fibre,Mesta,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
