,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-08-07,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-08-08,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-09,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-10,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-11,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-12,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-13,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-14,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-08-15,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-16,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-17,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-18,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-19,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-20,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-21,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-08-22,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-23,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-24,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-25,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-26,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-27,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-28,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-29,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-30,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-08-31,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-01,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-02,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-03,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-04,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-09-05,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-06,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-07,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-08,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-09,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-10,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-11,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-09-12,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-13,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-14,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-15,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-16,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-17,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-18,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,2750.0,2750.0,2750.0
2013-09-19,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-20,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-21,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-22,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-23,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-24,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-25,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,2500.0,2500.0,2500.0
2013-09-26,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-27,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-28,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-29,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-30,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-01,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-02,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-10-03,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-04,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-05,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-06,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-07,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-08,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-09,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
2013-10-10,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-11,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-12,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-13,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-14,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-15,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-16,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-17,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-18,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-19,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-20,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-21,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-22,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-23,Fibre,Tossa Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
