,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-06-01,Fish,Dried Rupchanda,Kilogram,1200.0,4000.0,2600.0,Quintal,,,
2017-06-02,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-03,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-04,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-05,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-06,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-07,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-08,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-09,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-10,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-11,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-12,Fish,Dried Rupchanda,Kilogram,1200.0,4000.0,2600.0,Quintal,,,
2017-06-13,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-14,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-15,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-16,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-17,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-18,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-19,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-20,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-21,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-22,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-23,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-24,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-25,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-26,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-27,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-06-28,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-29,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-06-30,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-01,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-02,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-03,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-04,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-05,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-06,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-07,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-08,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-09,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-10,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-11,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-12,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-13,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-14,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-15,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-16,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-17,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-18,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-19,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-20,Fish,Dried Rupchanda,Kilogram,2000.0,4000.0,3000.0,Quintal,,,
2017-07-21,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
2017-07-22,Fish,Dried Rupchanda,Kilogram,,,,Quintal,,,
