,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-06-19,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,50000.0,50000.0,50000.0
2013-06-20,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-21,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-22,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-23,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-24,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-25,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-26,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-06-27,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-28,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-29,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-06-30,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-01,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-02,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-03,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-07-04,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-05,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-06,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-07,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-08,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-09,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-10,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-07-11,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-12,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-13,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-14,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-15,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-16,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-17,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-07-18,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-19,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-20,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-21,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-22,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-23,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-24,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-07-25,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-26,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-27,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-28,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-29,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-30,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-07-31,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-08-01,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-02,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-03,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-04,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-05,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-06,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-07,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-08-08,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-09,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-10,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-11,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-12,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-13,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-14,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-08-15,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-16,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-17,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-18,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-19,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-20,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-21,Fish,Dried Surma,Kilogram,,,,Quintal,52000.0,52000.0,52000.0
2013-08-22,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-23,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-24,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-25,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-26,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-27,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-28,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,,,
2013-08-29,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-30,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-08-31,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-01,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-02,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-03,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-04,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-09-05,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-06,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-07,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-08,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-09,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-10,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-11,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-09-12,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-13,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-14,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-15,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-16,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-17,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-18,Fish,Dried Surma,Kilogram,400.0,800.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-09-19,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-20,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-21,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-22,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-23,Fish,Dried Surma,Kilogram,,,,Quintal,,,
2013-09-24,Fish,Dried Surma,Kilogram,,,,Quintal,,,
