,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Grass carp,Kilogram,133.0,174.0,153.5,Quintal,18000.0,18000.0,18000.0
2013-01-03,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-04,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-07,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-08,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-09,Fish,Grass carp,Kilogram,133.0,173.0,153.0,Quintal,18000.0,18000.0,18000.0
2013-01-10,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-11,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-14,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-15,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-16,Fish,Grass carp,Kilogram,133.0,173.0,153.0,Quintal,18000.0,18000.0,18000.0
2013-01-17,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-18,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-21,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-22,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-23,Fish,Grass carp,Kilogram,130.0,176.0,153.0,Quintal,16600.0,16600.0,16600.0
2013-01-24,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-25,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-28,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-29,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-01-30,Fish,Grass carp,Kilogram,126.0,166.0,146.0,Quintal,15667.0,15667.0,15667.0
2013-01-31,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-02-01,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Grass carp,Kilogram,,,,Quintal,,,
2013-02-05,Fish,Grass carp,Kilogram,,,,Quintal,,,
