,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,66000.0,66000.0,66000.0
2013-01-02,Fish,Hilsha,Kilogram,435.0,698.0,566.5,Quintal,61222.0,61222.0,61222.0
2013-01-03,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,70000.0,70000.0,70000.0
2013-01-04,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,68500.0,68500.0,68500.0
2013-01-07,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,68500.0,68500.0,68500.0
2013-01-08,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,68500.0,68500.0,68500.0
2013-01-09,Fish,Hilsha,Kilogram,422.0,682.0,552.0,Quintal,63429.0,63429.0,63429.0
2013-01-10,Fish,Hilsha,Kilogram,550.0,800.0,675.0,Quintal,68000.0,68000.0,68000.0
2013-01-11,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,71000.0,71000.0,71000.0
2013-01-14,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,73000.0,73000.0,73000.0
2013-01-15,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,72000.0,72000.0,72000.0
2013-01-16,Fish,Hilsha,Kilogram,430.0,696.0,563.0,Quintal,63500.0,63500.0,63500.0
2013-01-17,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,72000.0,72000.0,72000.0
2013-01-18,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Hilsha,Kilogram,500.0,850.0,675.0,Quintal,50000.0,50000.0,50000.0
2013-01-21,Fish,Hilsha,Kilogram,500.0,850.0,675.0,Quintal,54000.0,54000.0,54000.0
2013-01-22,Fish,Hilsha,Kilogram,500.0,800.0,650.0,Quintal,58000.0,58000.0,58000.0
2013-01-23,Fish,Hilsha,Kilogram,447.0,675.0,561.0,Quintal,67143.0,67143.0,67143.0
2013-01-24,Fish,Hilsha,Kilogram,500.0,800.0,650.0,Quintal,62000.0,62000.0,62000.0
2013-01-25,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Hilsha,Kilogram,500.0,800.0,650.0,Quintal,55000.0,55000.0,55000.0
2013-01-28,Fish,Hilsha,Kilogram,500.0,800.0,650.0,Quintal,56000.0,56000.0,56000.0
2013-01-29,Fish,Hilsha,Kilogram,500.0,750.0,625.0,Quintal,55000.0,55000.0,55000.0
2013-01-30,Fish,Hilsha,Kilogram,441.0,697.0,569.0,Quintal,66750.0,66750.0,66750.0
2013-01-31,Fish,Hilsha,Kilogram,500.0,750.0,625.0,Quintal,55000.0,55000.0,55000.0
2013-02-01,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Hilsha,Kilogram,500.0,750.0,625.0,Quintal,65000.0,65000.0,65000.0
2013-02-05,Fish,Hilsha,Kilogram,500.0,750.0,625.0,Quintal,65000.0,65000.0,65000.0
2013-02-06,Fish,Hilsha,Kilogram,478.0,738.0,608.0,Quintal,61000.0,61000.0,61000.0
2013-02-07,Fish,Hilsha,Kilogram,550.0,800.0,675.0,Quintal,65000.0,65000.0,65000.0
2013-02-08,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Hilsha,Kilogram,500.0,800.0,650.0,Quintal,70000.0,70000.0,70000.0
2013-02-11,Fish,Hilsha,Kilogram,550.0,800.0,675.0,Quintal,70000.0,70000.0,70000.0
2013-02-12,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Hilsha,Kilogram,441.0,745.0,593.0,Quintal,59000.0,59000.0,59000.0
2013-02-14,Fish,Hilsha,Kilogram,550.0,800.0,675.0,Quintal,68000.0,68000.0,68000.0
2013-02-15,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Hilsha,Kilogram,650.0,900.0,775.0,Quintal,80000.0,80000.0,80000.0
2013-02-19,Fish,Hilsha,Kilogram,650.0,850.0,750.0,Quintal,78000.0,78000.0,78000.0
2013-02-20,Fish,Hilsha,Kilogram,393.0,778.0,585.5,Quintal,59243.0,59243.0,59243.0
2013-02-21,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-22,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-23,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-24,Fish,Hilsha,Kilogram,600.0,850.0,725.0,Quintal,70000.0,70000.0,70000.0
2013-02-25,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-02-26,Fish,Hilsha,Kilogram,600.0,800.0,700.0,Quintal,70000.0,70000.0,70000.0
2013-02-27,Fish,Hilsha,Kilogram,433.0,800.0,616.5,Quintal,59450.0,59450.0,59450.0
2013-02-28,Fish,Hilsha,Kilogram,400.0,675.0,537.5,Quintal,59000.0,59000.0,59000.0
2013-03-01,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-02,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-03,Fish,Hilsha,Kilogram,600.0,850.0,725.0,Quintal,,,
2013-03-04,Fish,Hilsha,Kilogram,600.0,850.0,725.0,Quintal,,,
2013-03-05,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-06,Fish,Hilsha,Kilogram,451.0,744.0,597.5,Quintal,51283.0,51283.0,51283.0
2013-03-07,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,,,
2013-03-08,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-09,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-10,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-11,Fish,Hilsha,Kilogram,,,,Quintal,,,
2013-03-12,Fish,Hilsha,Kilogram,550.0,850.0,700.0,Quintal,70000.0,70000.0,70000.0
