,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Kai,Kilogram,180.0,220.0,200.0,Quintal,,,
2013-01-02,Fish,Kai,Kilogram,213.0,248.0,230.5,Quintal,13545.0,13545.0,13545.0
2013-01-03,Fish,Kai,Kilogram,180.0,220.0,200.0,Quintal,,,
2013-01-04,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Kai,Kilogram,180.0,220.0,200.0,Quintal,,,
2013-01-07,Fish,Kai,Kilogram,180.0,220.0,200.0,Quintal,,,
2013-01-08,Fish,Kai,Kilogram,180.0,220.0,200.0,Quintal,,,
2013-01-09,Fish,Kai,Kilogram,207.0,241.0,224.0,Quintal,9393.0,9393.0,9393.0
2013-01-10,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-11,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-14,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-15,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-16,Fish,Kai,Kilogram,229.0,263.0,246.0,Quintal,15295.0,15295.0,15295.0
2013-01-17,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-18,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-21,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-22,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-23,Fish,Kai,Kilogram,219.0,247.0,233.0,Quintal,20333.0,20333.0,20333.0
2013-01-24,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-25,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Kai,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-28,Fish,Kai,Kilogram,200.0,220.0,210.0,Quintal,,,
2013-01-29,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-01-30,Fish,Kai,Kilogram,226.0,254.0,240.0,Quintal,23500.0,23500.0,23500.0
2013-01-31,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-01,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-05,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-06,Fish,Kai,Kilogram,213.0,238.0,225.5,Quintal,23667.0,23667.0,23667.0
2013-02-07,Fish,Kai,Kilogram,200.0,240.0,220.0,Quintal,,,
2013-02-08,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Kai,Kilogram,200.0,240.0,220.0,Quintal,,,
2013-02-11,Fish,Kai,Kilogram,200.0,240.0,220.0,Quintal,,,
2013-02-12,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Kai,Kilogram,216.0,237.0,226.5,Quintal,24333.0,24333.0,24333.0
2013-02-14,Fish,Kai,Kilogram,200.0,240.0,220.0,Quintal,,,
2013-02-15,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-19,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-20,Fish,Kai,Kilogram,194.0,216.0,205.0,Quintal,18000.0,18000.0,18000.0
2013-02-21,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-22,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-23,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-24,Fish,Kai,Kilogram,180.0,250.0,215.0,Quintal,,,
2013-02-25,Fish,Kai,Kilogram,,,,Quintal,,,
2013-02-26,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-02-27,Fish,Kai,Kilogram,226.0,250.0,238.0,Quintal,24000.0,24000.0,24000.0
2013-02-28,Fish,Kai,Kilogram,210.0,240.0,225.0,Quintal,20000.0,20000.0,20000.0
2013-03-01,Fish,Kai,Kilogram,,,,Quintal,,,
2013-03-02,Fish,Kai,Kilogram,,,,Quintal,,,
2013-03-03,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-03-04,Fish,Kai,Kilogram,200.0,250.0,225.0,Quintal,,,
2013-03-05,Fish,Kai,Kilogram,,,,Quintal,,,
