,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Katla (Local),Kilogram,140.0,195.0,167.5,Quintal,16000.0,16000.0,16000.0
2013-01-03,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-04,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-07,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-08,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-09,Fish,Katla (Local),Kilogram,145.0,200.0,172.5,Quintal,16000.0,16000.0,16000.0
2013-01-10,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-11,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-14,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-15,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-16,Fish,Katla (Local),Kilogram,145.0,200.0,172.5,Quintal,18333.0,18333.0,18333.0
2013-01-17,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-18,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-21,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-22,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-23,Fish,Katla (Local),Kilogram,145.0,205.0,175.0,Quintal,18333.0,18333.0,18333.0
2013-01-24,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-25,Fish,Katla (Local),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Katla (Local),Kilogram,,,,Quintal,,,
