,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,258.0,290.0,274.0,Quintal,13775.0,13775.0,13775.0
2013-01-03,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-04,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-07,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-08,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-09,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,258.0,288.0,273.0,Quintal,13525.0,13525.0,13525.0
2013-01-10,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-11,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-14,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-15,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-16,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,262.0,287.0,274.5,Quintal,16220.0,16220.0,16220.0
2013-01-17,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-18,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-21,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-22,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-23,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,274.0,294.0,284.0,Quintal,20700.0,20700.0,20700.0
2013-01-24,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-25,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-27,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-28,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-29,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-30,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,272.0,292.0,282.0,Quintal,20700.0,20700.0,20700.0
2013-01-31,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-01,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-02,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-03,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-04,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-05,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-06,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,267.0,292.0,279.5,Quintal,20825.0,20825.0,20825.0
2013-02-07,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-08,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-09,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-10,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-11,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-12,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-13,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,267.0,290.0,278.5,Quintal,20825.0,20825.0,20825.0
2013-02-14,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-15,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-16,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-17,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-18,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-19,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-20,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,268.0,298.0,283.0,Quintal,21200.0,21200.0,21200.0
2013-02-21,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-22,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-23,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-24,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-25,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-26,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-27,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,278.0,305.0,291.5,Quintal,27167.0,27167.0,27167.0
