,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Katla-Small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,23000.0,23000.0,23000.0
2013-01-02,Fish,Katla-Small (1.50-2.00 kg),Kilogram,199.0,234.0,216.5,Quintal,20250.0,20250.0,20250.0
2013-01-03,Fish,Katla-Small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,23000.0,23000.0,23000.0
2013-01-04,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Katla-Small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-07,Fish,Katla-Small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-08,Fish,Katla-Small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-09,Fish,Katla-Small (1.50-2.00 kg),Kilogram,200.0,236.0,218.0,Quintal,20393.0,20393.0,20393.0
2013-01-10,Fish,Katla-Small (1.50-2.00 kg),Kilogram,185.0,300.0,242.5,Quintal,24000.0,24000.0,24000.0
2013-01-11,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Katla-Small (1.50-2.00 kg),Kilogram,190.0,300.0,245.0,Quintal,24500.0,24500.0,24500.0
2013-01-14,Fish,Katla-Small (1.50-2.00 kg),Kilogram,185.0,300.0,242.5,Quintal,24000.0,24000.0,24000.0
2013-01-15,Fish,Katla-Small (1.50-2.00 kg),Kilogram,200.0,300.0,250.0,Quintal,24000.0,24000.0,24000.0
2013-01-16,Fish,Katla-Small (1.50-2.00 kg),Kilogram,201.0,237.0,219.0,Quintal,21480.0,21480.0,21480.0
2013-01-17,Fish,Katla-Small (1.50-2.00 kg),Kilogram,185.0,300.0,242.5,Quintal,24500.0,24500.0,24500.0
2013-01-18,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Katla-Small (1.50-2.00 kg),Kilogram,175.0,300.0,237.5,Quintal,20000.0,20000.0,20000.0
2013-01-21,Fish,Katla-Small (1.50-2.00 kg),Kilogram,175.0,300.0,237.5,Quintal,22000.0,22000.0,22000.0
2013-01-22,Fish,Katla-Small (1.50-2.00 kg),Kilogram,175.0,300.0,237.5,Quintal,22000.0,22000.0,22000.0
2013-01-23,Fish,Katla-Small (1.50-2.00 kg),Kilogram,203.0,240.0,221.5,Quintal,21413.0,21413.0,21413.0
2013-01-24,Fish,Katla-Small (1.50-2.00 kg),Kilogram,175.0,300.0,237.5,Quintal,22500.0,22500.0,22500.0
2013-01-25,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Katla-Small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
