,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Magur,Kilogram,500.0,613.0,556.5,Quintal,25375.0,25375.0,25375.0
2013-01-03,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-04,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-07,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-08,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-09,Fish,Magur,Kilogram,500.0,613.0,556.5,Quintal,25375.0,25375.0,25375.0
2013-01-10,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-11,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-14,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-15,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-16,Fish,Magur,Kilogram,518.0,610.0,564.0,Quintal,32250.0,32250.0,32250.0
2013-01-17,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-18,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-21,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-22,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-23,Fish,Magur,Kilogram,535.0,625.0,580.0,Quintal,48000.0,48000.0,48000.0
2013-01-24,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-25,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-28,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-29,Fish,Magur,Kilogram,,,,Quintal,,,
2013-01-30,Fish,Magur,Kilogram,535.0,625.0,580.0,Quintal,48000.0,48000.0,48000.0
2013-01-31,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-01,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-05,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-06,Fish,Magur,Kilogram,535.0,625.0,580.0,Quintal,48000.0,48000.0,48000.0
2013-02-07,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-08,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Magur,Kilogram,,,,Quintal,,,
2013-02-11,Fish,Magur,Kilogram,,,,Quintal,,,
