,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Mregal-small,Kilogram,144.0,167.0,155.5,Quintal,13142.0,13142.0,13142.0
2013-01-03,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-04,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-07,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-08,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-09,Fish,Mregal-small,Kilogram,142.0,167.0,154.5,Quintal,13018.0,13018.0,13018.0
2013-01-10,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-11,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-14,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-15,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-16,Fish,Mregal-small,Kilogram,142.0,170.0,156.0,Quintal,13517.0,13517.0,13517.0
2013-01-17,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-18,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-21,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-22,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-23,Fish,Mregal-small,Kilogram,145.0,170.0,157.5,Quintal,14818.0,14818.0,14818.0
2013-01-24,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-25,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-28,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-29,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-01-30,Fish,Mregal-small,Kilogram,145.0,169.0,157.0,Quintal,14667.0,14667.0,14667.0
2013-01-31,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-01,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-05,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-06,Fish,Mregal-small,Kilogram,144.0,164.0,154.0,Quintal,14364.0,14364.0,14364.0
2013-02-07,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-08,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-11,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-12,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Mregal-small,Kilogram,150.0,177.0,163.5,Quintal,14600.0,14600.0,14600.0
2013-02-14,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-15,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-19,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-20,Fish,Mregal-small,Kilogram,156.0,181.0,168.5,Quintal,13833.0,13833.0,13833.0
2013-02-21,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-22,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-23,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-24,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-25,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-26,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-02-27,Fish,Mregal-small,Kilogram,143.0,164.0,153.5,Quintal,12907.0,12907.0,12907.0
2013-02-28,Fish,Mregal-small,Kilogram,180.0,200.0,190.0,Quintal,18000.0,18000.0,18000.0
2013-03-01,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-02,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-03,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-04,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-05,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-06,Fish,Mregal-small,Kilogram,153.0,178.0,165.5,Quintal,13416.0,13416.0,13416.0
2013-03-07,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-08,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-09,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-10,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-11,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-12,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-13,Fish,Mregal-small,Kilogram,153.0,179.0,166.0,Quintal,13416.0,13416.0,13416.0
2013-03-14,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-15,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-16,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-17,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-18,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-19,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-20,Fish,Mregal-small,Kilogram,143.0,164.0,153.5,Quintal,12684.0,12684.0,12684.0
2013-03-21,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-22,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-23,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-24,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-25,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-26,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-27,Fish,Mregal-small,Kilogram,143.0,166.0,154.5,Quintal,14375.0,14375.0,14375.0
2013-03-28,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-29,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-30,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-03-31,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-01,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-02,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-03,Fish,Mregal-small,Kilogram,143.0,164.0,153.5,Quintal,14222.0,14222.0,14222.0
2013-04-04,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-05,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-06,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-07,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-08,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-09,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-10,Fish,Mregal-small,Kilogram,143.0,165.0,154.0,Quintal,14222.0,14222.0,14222.0
2013-04-11,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-12,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-13,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-14,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-15,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-16,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-17,Fish,Mregal-small,Kilogram,148.0,169.0,158.5,Quintal,14556.0,14556.0,14556.0
2013-04-18,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-19,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-20,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-21,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-22,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-23,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-24,Fish,Mregal-small,Kilogram,148.0,169.0,158.5,Quintal,14556.0,14556.0,14556.0
2013-04-25,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-26,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-27,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-28,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-29,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-04-30,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-01,Fish,Mregal-small,Kilogram,137.0,167.0,152.0,Quintal,13000.0,13000.0,13000.0
2013-05-02,Fish,Mregal-small,Kilogram,148.0,165.0,156.5,Quintal,14250.0,14250.0,14250.0
2013-05-03,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-04,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-05,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-06,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-07,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-08,Fish,Mregal-small,Kilogram,144.0,170.0,157.0,Quintal,14125.0,14125.0,14125.0
2013-05-09,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-10,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-11,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-12,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-13,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-14,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-15,Fish,Mregal-small,Kilogram,153.0,174.0,163.5,Quintal,13889.0,13889.0,13889.0
2013-05-16,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-17,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-18,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-19,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-20,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-21,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-22,Fish,Mregal-small,Kilogram,151.0,173.0,162.0,Quintal,14333.0,14333.0,14333.0
2013-05-23,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-24,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-25,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-26,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-27,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-28,Fish,Mregal-small,Kilogram,,,,Quintal,,,
2013-05-29,Fish,Mregal-small,Kilogram,141.0,166.0,153.5,Quintal,14286.0,14286.0,14286.0
