,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Pangash (big),Kilogram,107.0,124.0,115.5,Quintal,10910.0,10910.0,10910.0
2013-01-03,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-04,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-08,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-09,Fish,Pangash (big),Kilogram,107.0,124.0,115.5,Quintal,10910.0,10910.0,10910.0
2013-01-10,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-11,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-15,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-16,Fish,Pangash (big),Kilogram,108.0,124.0,116.0,Quintal,11010.0,11010.0,11010.0
2013-01-17,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-18,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-22,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-23,Fish,Pangash (big),Kilogram,108.0,125.0,116.5,Quintal,11357.0,11357.0,11357.0
2013-01-24,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-27,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-28,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-29,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-01-30,Fish,Pangash (big),Kilogram,108.0,123.0,115.5,Quintal,11389.0,11389.0,11389.0
2013-01-31,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-01,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-02,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-03,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-04,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-06,Fish,Pangash (big),Kilogram,106.0,124.0,115.0,Quintal,11500.0,11500.0,11500.0
2013-02-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-08,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-09,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-10,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-11,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-13,Fish,Pangash (big),Kilogram,111.0,128.0,119.5,Quintal,11444.0,11444.0,11444.0
2013-02-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-15,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-16,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-17,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-18,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-19,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-20,Fish,Pangash (big),Kilogram,111.0,130.0,120.5,Quintal,10402.0,10402.0,10402.0
2013-02-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-22,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-23,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-24,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-26,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-02-27,Fish,Pangash (big),Kilogram,108.0,130.0,119.0,Quintal,10160.0,10160.0,10160.0
2013-02-28,Fish,Pangash (big),Kilogram,130.0,140.0,135.0,Quintal,12000.0,12000.0,12000.0
2013-03-01,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-02,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-03,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-04,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-06,Fish,Pangash (big),Kilogram,113.0,133.0,123.0,Quintal,10589.0,10589.0,10589.0
2013-03-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-08,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-09,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-10,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-11,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-13,Fish,Pangash (big),Kilogram,110.0,134.0,122.0,Quintal,10765.0,10765.0,10765.0
2013-03-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-15,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-16,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-17,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-18,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-19,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-20,Fish,Pangash (big),Kilogram,105.0,130.0,117.5,Quintal,10160.0,10160.0,10160.0
2013-03-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-22,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-23,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-24,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-26,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-27,Fish,Pangash (big),Kilogram,105.0,130.0,117.5,Quintal,11714.0,11714.0,11714.0
2013-03-28,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-29,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-30,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-03-31,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-01,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-02,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-03,Fish,Pangash (big),Kilogram,114.0,133.0,123.5,Quintal,11875.0,11875.0,11875.0
2013-04-04,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-06,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-08,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-09,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-10,Fish,Pangash (big),Kilogram,114.0,133.0,123.5,Quintal,11875.0,11875.0,11875.0
2013-04-11,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-13,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-15,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-16,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-17,Fish,Pangash (big),Kilogram,116.0,133.0,124.5,Quintal,11889.0,11889.0,11889.0
2013-04-18,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-19,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-20,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-22,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-23,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-24,Fish,Pangash (big),Kilogram,116.0,131.0,123.5,Quintal,12111.0,12111.0,12111.0
2013-04-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-26,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-27,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-28,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-29,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-04-30,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-01,Fish,Pangash (big),Kilogram,120.0,133.0,126.5,Quintal,12000.0,12000.0,12000.0
2013-05-02,Fish,Pangash (big),Kilogram,112.0,132.0,122.0,Quintal,11800.0,11800.0,11800.0
2013-05-03,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-04,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-06,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-08,Fish,Pangash (big),Kilogram,127.0,139.0,133.0,Quintal,12700.0,12700.0,12700.0
2013-05-09,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-10,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-11,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-13,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-15,Fish,Pangash (big),Kilogram,132.0,142.0,137.0,Quintal,13050.0,13050.0,13050.0
2013-05-16,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-17,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-18,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-19,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-20,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-22,Fish,Pangash (big),Kilogram,137.0,146.0,141.5,Quintal,13357.0,13357.0,13357.0
2013-05-23,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-24,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-26,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-27,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-28,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-29,Fish,Pangash (big),Kilogram,140.0,149.0,144.5,Quintal,13600.0,13600.0,13600.0
2013-05-30,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-05-31,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-01,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-02,Fish,Pangash (big),Kilogram,14000.0,14500.0,14250.0,Quintal,14500.0,14500.0,14500.0
2013-06-03,Fish,Pangash (big),Kilogram,14000.0,14500.0,14250.0,Quintal,14500.0,14500.0,14500.0
2013-06-04,Fish,Pangash (big),Kilogram,14000.0,14500.0,14250.0,Quintal,14500.0,14500.0,14500.0
2013-06-05,Fish,Pangash (big),Kilogram,1676.0,1742.0,1709.0,Quintal,13350.0,13350.0,13350.0
2013-06-06,Fish,Pangash (big),Kilogram,4753.0,4925.0,4839.0,Quintal,13667.0,13667.0,13667.0
2013-06-07,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-08,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-09,Fish,Pangash (big),Kilogram,137.0,145.0,141.0,Quintal,13667.0,13667.0,13667.0
2013-06-10,Fish,Pangash (big),Kilogram,4753.0,4925.0,4839.0,Quintal,13667.0,13667.0,13667.0
2013-06-11,Fish,Pangash (big),Kilogram,4753.0,4925.0,4839.0,Quintal,13667.0,13667.0,13667.0
2013-06-12,Fish,Pangash (big),Kilogram,1124.0,1171.0,1147.5,Quintal,13153.0,13153.0,13153.0
2013-06-13,Fish,Pangash (big),Kilogram,7065.0,7318.0,7191.5,Quintal,13750.0,13750.0,13750.0
2013-06-14,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-15,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-16,Fish,Pangash (big),Kilogram,140.0,148.0,144.0,Quintal,13333.0,13333.0,13333.0
2013-06-17,Fish,Pangash (big),Kilogram,140.0,148.0,144.0,Quintal,13750.0,13750.0,13750.0
2013-06-18,Fish,Pangash (big),Kilogram,140.0,150.0,145.0,Quintal,13750.0,13750.0,13750.0
2013-06-19,Fish,Pangash (big),Kilogram,135.0,146.0,140.5,Quintal,12986.0,12986.0,12986.0
2013-06-20,Fish,Pangash (big),Kilogram,138.0,147.0,142.5,Quintal,13500.0,13500.0,13500.0
2013-06-21,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-22,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-23,Fish,Pangash (big),Kilogram,138.0,147.0,142.5,Quintal,13500.0,13500.0,13500.0
2013-06-24,Fish,Pangash (big),Kilogram,135.0,143.0,139.0,Quintal,13167.0,13167.0,13167.0
2013-06-25,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-26,Fish,Pangash (big),Kilogram,131.0,145.0,138.0,Quintal,13028.0,13028.0,13028.0
2013-06-27,Fish,Pangash (big),Kilogram,142.0,150.0,146.0,Quintal,13667.0,13667.0,13667.0
2013-06-28,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-29,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-06-30,Fish,Pangash (big),Kilogram,142.0,150.0,146.0,Quintal,13667.0,13667.0,13667.0
2013-07-01,Fish,Pangash (big),Kilogram,142.0,150.0,146.0,Quintal,13667.0,13667.0,13667.0
2013-07-02,Fish,Pangash (big),Kilogram,138.0,150.0,144.0,Quintal,13667.0,13667.0,13667.0
2013-07-03,Fish,Pangash (big),Kilogram,131.0,144.0,137.5,Quintal,12825.0,12825.0,12825.0
2013-07-04,Fish,Pangash (big),Kilogram,128.0,137.0,132.5,Quintal,12333.0,12333.0,12333.0
2013-07-05,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-07-06,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-07-07,Fish,Pangash (big),Kilogram,118.0,138.0,128.0,Quintal,11875.0,11875.0,11875.0
2013-07-08,Fish,Pangash (big),Kilogram,116.0,138.0,127.0,Quintal,11750.0,11750.0,11750.0
2013-07-09,Fish,Pangash (big),Kilogram,119.0,140.0,129.5,Quintal,12000.0,12000.0,12000.0
2013-07-10,Fish,Pangash (big),Kilogram,135.0,148.0,141.5,Quintal,12974.0,12974.0,12974.0
2013-07-11,Fish,Pangash (big),Kilogram,128.0,148.0,138.0,Quintal,12625.0,12625.0,12625.0
2013-07-12,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-07-13,Fish,Pangash (big),Kilogram,,,,Quintal,,,
2013-07-14,Fish,Pangash (big),Kilogram,129.0,145.0,137.0,Quintal,12625.0,12625.0,12625.0
2013-07-15,Fish,Pangash (big),Kilogram,128.0,145.0,136.5,Quintal,12500.0,12500.0,12500.0
2013-07-16,Fish,Pangash (big),Kilogram,128.0,145.0,136.5,Quintal,12500.0,12500.0,12500.0
2013-07-17,Fish,Pangash (big),Kilogram,136.0,149.0,142.5,Quintal,13000.0,13000.0,13000.0
2013-07-18,Fish,Pangash (big),Kilogram,130.0,146.0,138.0,Quintal,12600.0,12600.0,12600.0
