,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Pangash (small),Kilogram,100.0,140.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-01-02,Fish,Pangash (small),Kilogram,92.0,107.0,99.5,Quintal,8622.0,8622.0,8622.0
2013-01-03,Fish,Pangash (small),Kilogram,100.0,140.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-01-04,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Pangash (small),Kilogram,100.0,140.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-01-07,Fish,Pangash (small),Kilogram,100.0,140.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-01-08,Fish,Pangash (small),Kilogram,100.0,140.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-01-09,Fish,Pangash (small),Kilogram,93.0,106.0,99.5,Quintal,8659.0,8659.0,8659.0
2013-01-10,Fish,Pangash (small),Kilogram,120.0,140.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-01-11,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Pangash (small),Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-01-14,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-01-15,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-01-16,Fish,Pangash (small),Kilogram,94.0,108.0,101.0,Quintal,8989.0,8989.0,8989.0
2013-01-17,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,11000.0,11000.0,11000.0
2013-01-18,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Pangash (small),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,11000.0,11000.0,11000.0
2013-01-21,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-01-22,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-01-23,Fish,Pangash (small),Kilogram,94.0,109.0,101.5,Quintal,9219.0,9219.0,9219.0
2013-01-24,Fish,Pangash (small),Kilogram,110.0,150.0,130.0,Quintal,12000.0,12000.0,12000.0
