,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-05-08,Fish,Rita,Kilogram,,,,Quintal,40000.0,40000.0,40000.0
2013-05-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-05-31,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-06-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-07-31,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-08-31,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-09-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-14,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-15,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-16,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-17,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-18,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-19,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-20,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-21,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-22,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-23,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-24,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-25,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-26,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-27,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-28,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-29,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-30,Fish,Rita,Kilogram,,,,Quintal,,,
2013-10-31,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-01,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-02,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-03,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-04,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-05,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-06,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-07,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-08,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-09,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-10,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-11,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-12,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-13,Fish,Rita,Kilogram,,,,Quintal,,,
2013-11-14,Fish,Rita,Kilogram,,,,Quintal,,,
