,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-02,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,204.0,244.0,224.0,Quintal,17160.0,17160.0,17160.0
2013-01-03,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,21000.0,21000.0,21000.0
2013-01-04,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,21000.0,21000.0,21000.0
2013-01-07,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-08,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-09,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,204.0,244.0,224.0,Quintal,17460.0,17460.0,17460.0
2013-01-10,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-01-11,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-01-14,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-01-15,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23500.0,23500.0,23500.0
2013-01-16,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,222.0,252.0,237.0,Quintal,18883.0,18883.0,18883.0
2013-01-17,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-01-18,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,19000.0,19000.0,19000.0
2013-01-21,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,21000.0,21000.0,21000.0
2013-01-22,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-23,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,226.0,258.0,242.0,Quintal,23625.0,23625.0,23625.0
2013-01-24,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-25,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-27,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,22000.0,22000.0,22000.0
2013-01-28,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-01-29,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-01-30,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,226.0,260.0,243.0,Quintal,23875.0,23875.0,23875.0
2013-01-31,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-01,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-02,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-03,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-04,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-02-05,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-02-06,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,228.0,260.0,244.0,Quintal,23875.0,23875.0,23875.0
2013-02-07,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,23000.0,23000.0,23000.0
2013-02-08,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-09,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-10,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-11,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-12,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-13,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,224.0,262.0,243.0,Quintal,22625.0,22625.0,22625.0
2013-02-14,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-15,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-16,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-17,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-18,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-19,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-20,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,220.0,265.0,242.5,Quintal,22750.0,22750.0,22750.0
2013-02-21,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-22,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-23,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-24,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-25,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-02-26,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
2013-02-27,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,224.0,262.0,243.0,Quintal,22900.0,22900.0,22900.0
2013-02-28,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,,,,Quintal,24000.0,24000.0,24000.0
