,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-02,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,172.0,230.0,201.0,Quintal,17463.0,17463.0,17463.0
2013-01-03,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,270.0,220.0,Quintal,,,
2013-01-04,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-07,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-08,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-09,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,174.0,232.0,203.0,Quintal,17463.0,17463.0,17463.0
2013-01-10,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-01-11,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-01-14,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-01-15,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-01-16,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,177.0,225.0,201.0,Quintal,17916.0,17916.0,17916.0
2013-01-17,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-01-18,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-21,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-22,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-23,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,175.0,225.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-01-24,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-25,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-27,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-28,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-29,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-01-30,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,177.0,227.0,202.0,Quintal,20143.0,20143.0,20143.0
2013-01-31,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-02-01,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-02,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-03,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-04,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-02-05,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-02-06,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,183.0,229.0,206.0,Quintal,21143.0,21143.0,21143.0
2013-02-07,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170.0,280.0,225.0,Quintal,,,
2013-02-08,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-09,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-10,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-02-11,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,180.0,280.0,230.0,Quintal,,,
2013-02-12,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-13,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,185.0,220.0,202.5,Quintal,21143.0,21143.0,21143.0
2013-02-14,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,190.0,280.0,235.0,Quintal,,,
2013-02-15,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-02-16,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
