,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,294.0,340.0,317.0,Quintal,28667.0,28667.0,28667.0
2013-01-03,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-04,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-07,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-08,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-09,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,292.0,339.0,315.5,Quintal,28500.0,28500.0,28500.0
2013-01-10,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-11,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-14,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-15,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-16,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,292.0,340.0,316.0,Quintal,28667.0,28667.0,28667.0
2013-01-17,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-18,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-21,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-22,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-23,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,296.0,344.0,320.0,Quintal,28667.0,28667.0,28667.0
2013-01-24,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
2013-01-25,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,,,,Quintal,,,
