,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,24000.0,24000.0,24000.0
2013-01-02,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,219.0,258.0,238.5,Quintal,23188.0,23188.0,23188.0
2013-01-03,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,24000.0,24000.0,24000.0
2013-01-04,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-05,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-06,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23500.0,23500.0,23500.0
2013-01-07,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23500.0,23500.0,23500.0
2013-01-08,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,24000.0,24000.0,24000.0
2013-01-09,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,215.0,258.0,236.5,Quintal,23533.0,23533.0,23533.0
2013-01-10,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,190.0,300.0,245.0,Quintal,24500.0,24500.0,24500.0
2013-01-11,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-12,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-13,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,200.0,300.0,250.0,Quintal,25000.0,25000.0,25000.0
2013-01-14,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,190.0,300.0,245.0,Quintal,24500.0,24500.0,24500.0
2013-01-15,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,200.0,300.0,250.0,Quintal,24500.0,24500.0,24500.0
2013-01-16,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,216.0,259.0,237.5,Quintal,23875.0,23875.0,23875.0
2013-01-17,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,190.0,300.0,245.0,Quintal,25000.0,25000.0,25000.0
2013-01-18,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-19,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-20,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,20000.0,20000.0,20000.0
2013-01-21,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,22000.0,22000.0,22000.0
2013-01-22,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-23,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,229.0,274.0,251.5,Quintal,23833.0,23833.0,23833.0
2013-01-24,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,24000.0,24000.0,24000.0
2013-01-25,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-26,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,,,,Quintal,,,
2013-01-27,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,22000.0,22000.0,22000.0
2013-01-28,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-29,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,180.0,300.0,240.0,Quintal,23000.0,23000.0,23000.0
2013-01-30,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,228.0,270.0,249.0,Quintal,23735.0,23735.0,23735.0
