,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-06-03,Fish,Ruhi (Local) big (above 5 kg),Kilogram,420.0,450.0,435.0,Quintal,,,
2013-06-04,Fish,Ruhi (Local) big (above 5 kg),Kilogram,420.0,450.0,435.0,Quintal,,,
2013-06-05,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-06,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-07,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-08,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-09,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-10,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-11,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-12,Fish,Ruhi (Local) big (above 5 kg),Kilogram,320.0,400.0,360.0,Quintal,,,
2013-06-13,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-14,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-15,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-16,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-17,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-18,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-19,Fish,Ruhi (Local) big (above 5 kg),Kilogram,320.0,400.0,360.0,Quintal,,,
2013-06-20,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-21,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-22,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-23,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-24,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-25,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-26,Fish,Ruhi (Local) big (above 5 kg),Kilogram,320.0,400.0,360.0,Quintal,,,
2013-06-27,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-28,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-29,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-06-30,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-01,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-02,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-03,Fish,Ruhi (Local) big (above 5 kg),Kilogram,320.0,400.0,360.0,Quintal,,,
2013-07-04,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-05,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-06,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-07,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-08,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-09,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-10,Fish,Ruhi (Local) big (above 5 kg),Kilogram,320.0,400.0,360.0,Quintal,,,
2013-07-11,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-12,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-13,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
2013-07-14,Fish,Ruhi (Local) big (above 5 kg),Kilogram,,,,Quintal,,,
