,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Shrimp Golda,Kilogram,440.0,550.0,495.0,Quintal,51000.0,51000.0,51000.0
2013-01-03,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-04,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-07,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-08,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-09,Fish,Shrimp Golda,Kilogram,440.0,550.0,495.0,Quintal,51000.0,51000.0,51000.0
2013-01-10,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-11,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-14,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-15,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-16,Fish,Shrimp Golda,Kilogram,440.0,550.0,495.0,Quintal,51000.0,51000.0,51000.0
2013-01-17,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-18,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-21,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-22,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-23,Fish,Shrimp Golda,Kilogram,440.0,550.0,495.0,Quintal,51000.0,51000.0,51000.0
2013-01-24,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-25,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-28,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-29,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-01-30,Fish,Shrimp Golda,Kilogram,440.0,550.0,495.0,Quintal,51000.0,51000.0,51000.0
2013-01-31,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-01,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-05,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-06,Fish,Shrimp Golda,Kilogram,450.0,575.0,512.5,Quintal,53500.0,53500.0,53500.0
2013-02-07,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-08,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-11,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-12,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Shrimp Golda,Kilogram,470.0,590.0,530.0,Quintal,54500.0,54500.0,54500.0
2013-02-14,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-15,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-19,Fish,Shrimp Golda,Kilogram,,,,Quintal,,,
2013-02-20,Fish,Shrimp Golda,Kilogram,470.0,590.0,530.0,Quintal,54500.0,54500.0,54500.0
