,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,28000.0,28000.0,28000.0
2013-01-02,Fish,Shrimp-small,Kilogram,300.0,375.0,337.5,Quintal,28000.0,28000.0,28000.0
2013-01-03,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,28000.0,28000.0,28000.0
2013-01-04,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,28000.0,28000.0,28000.0
2013-01-07,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,28000.0,28000.0,28000.0
2013-01-08,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,28000.0,28000.0,28000.0
2013-01-09,Fish,Shrimp-small,Kilogram,300.0,375.0,337.5,Quintal,30000.0,30000.0,30000.0
2013-01-10,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,30000.0,30000.0,30000.0
2013-01-11,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,28000.0,28000.0,28000.0
2013-01-14,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,28000.0,28000.0,28000.0
2013-01-15,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-16,Fish,Shrimp-small,Kilogram,283.0,360.0,321.5,Quintal,26000.0,26000.0,26000.0
2013-01-17,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-18,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,28000.0,28000.0,28000.0
2013-01-21,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-22,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-23,Fish,Shrimp-small,Kilogram,283.0,360.0,321.5,Quintal,25333.0,25333.0,25333.0
2013-01-24,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-25,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-28,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-29,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-01-30,Fish,Shrimp-small,Kilogram,283.0,360.0,321.5,Quintal,25333.0,25333.0,25333.0
2013-01-31,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-02-01,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,28000.0,28000.0,28000.0
2013-02-05,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,28000.0,28000.0,28000.0
2013-02-06,Fish,Shrimp-small,Kilogram,300.0,380.0,340.0,Quintal,26000.0,26000.0,26000.0
2013-02-07,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,30000.0,30000.0,30000.0
2013-02-08,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Shrimp-small,Kilogram,300.0,360.0,330.0,Quintal,32000.0,32000.0,32000.0
2013-02-11,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,32000.0,32000.0,32000.0
2013-02-12,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Shrimp-small,Kilogram,300.0,400.0,350.0,Quintal,26000.0,26000.0,26000.0
2013-02-14,Fish,Shrimp-small,Kilogram,300.0,350.0,325.0,Quintal,32000.0,32000.0,32000.0
2013-02-15,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Shrimp-small,Kilogram,,,,Quintal,,,
