,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,14000.0,14000.0,14000.0
2013-01-02,Fish,Silver Carp,Kilogram,111.0,150.0,130.5,Quintal,13100.0,13100.0,13100.0
2013-01-03,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,14000.0,14000.0,14000.0
2013-01-04,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,14000.0,14000.0,14000.0
2013-01-07,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,14000.0,14000.0,14000.0
2013-01-08,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,14000.0,14000.0,14000.0
2013-01-09,Fish,Silver Carp,Kilogram,114.0,156.0,135.0,Quintal,13808.0,13808.0,13808.0
2013-01-10,Fish,Silver Carp,Kilogram,130.0,160.0,145.0,Quintal,14000.0,14000.0,14000.0
2013-01-11,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Silver Carp,Kilogram,130.0,160.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-01-14,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-15,Fish,Silver Carp,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-16,Fish,Silver Carp,Kilogram,111.0,158.0,134.5,Quintal,13979.0,13979.0,13979.0
2013-01-17,Fish,Silver Carp,Kilogram,110.0,160.0,135.0,Quintal,13000.0,13000.0,13000.0
2013-01-18,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Silver Carp,Kilogram,100.0,160.0,130.0,Quintal,13000.0,13000.0,13000.0
2013-01-21,Fish,Silver Carp,Kilogram,100.0,160.0,130.0,Quintal,13500.0,13500.0,13500.0
2013-01-22,Fish,Silver Carp,Kilogram,120.0,170.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-01-23,Fish,Silver Carp,Kilogram,109.0,159.0,134.0,Quintal,13900.0,13900.0,13900.0
2013-01-24,Fish,Silver Carp,Kilogram,120.0,170.0,145.0,Quintal,12500.0,12500.0,12500.0
2013-01-25,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Silver Carp,Kilogram,120.0,170.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-01-28,Fish,Silver Carp,Kilogram,120.0,170.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-01-29,Fish,Silver Carp,Kilogram,110.0,170.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-30,Fish,Silver Carp,Kilogram,111.0,159.0,135.0,Quintal,13980.0,13980.0,13980.0
2013-01-31,Fish,Silver Carp,Kilogram,110.0,170.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-02-01,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,13000.0,13000.0,13000.0
2013-02-05,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,13000.0,13000.0,13000.0
2013-02-06,Fish,Silver Carp,Kilogram,117.0,160.0,138.5,Quintal,14050.0,14050.0,14050.0
2013-02-07,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,13000.0,13000.0,13000.0
2013-02-08,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,14000.0,14000.0,14000.0
2013-02-11,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,14000.0,14000.0,14000.0
2013-02-12,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Silver Carp,Kilogram,114.0,160.0,137.0,Quintal,14131.0,14131.0,14131.0
2013-02-14,Fish,Silver Carp,Kilogram,140.0,180.0,160.0,Quintal,14000.0,14000.0,14000.0
2013-02-15,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-02-19,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-02-20,Fish,Silver Carp,Kilogram,115.0,166.0,140.5,Quintal,13280.0,13280.0,13280.0
2013-02-21,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-22,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-23,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-24,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-02-25,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-02-26,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15500.0,15500.0,15500.0
2013-02-27,Fish,Silver Carp,Kilogram,113.0,165.0,139.0,Quintal,13304.0,13304.0,13304.0
2013-02-28,Fish,Silver Carp,Kilogram,125.0,160.0,142.5,Quintal,13500.0,13500.0,13500.0
2013-03-01,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-02,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-03,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-03-04,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,16000.0,16000.0,16000.0
2013-03-05,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-06,Fish,Silver Carp,Kilogram,124.0,171.0,147.5,Quintal,14088.0,14088.0,14088.0
2013-03-07,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,16000.0,16000.0,16000.0
2013-03-08,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-09,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-10,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-11,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-12,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,16000.0,16000.0,16000.0
2013-03-13,Fish,Silver Carp,Kilogram,122.0,170.0,146.0,Quintal,13989.0,13989.0,13989.0
2013-03-14,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-15,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-16,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-17,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-18,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-19,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,16000.0,16000.0,16000.0
2013-03-20,Fish,Silver Carp,Kilogram,124.0,178.0,151.0,Quintal,14387.0,14387.0,14387.0
2013-03-21,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-22,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-23,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-24,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-25,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-26,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-27,Fish,Silver Carp,Kilogram,122.0,175.0,148.5,Quintal,15620.0,15620.0,15620.0
2013-03-28,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-29,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-30,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-03-31,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-01,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-02,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-03,Fish,Silver Carp,Kilogram,122.0,178.0,150.0,Quintal,15745.0,15745.0,15745.0
2013-04-04,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-05,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-06,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-07,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-04-08,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-04-09,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,15000.0,15000.0,15000.0
2013-04-10,Fish,Silver Carp,Kilogram,125.0,178.0,151.5,Quintal,15909.0,15909.0,15909.0
2013-04-11,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-12,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-13,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-14,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-15,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-16,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-17,Fish,Silver Carp,Kilogram,124.0,173.0,148.5,Quintal,15433.0,15433.0,15433.0
2013-04-18,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-19,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-20,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-21,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,14500.0,14500.0,14500.0
2013-04-22,Fish,Silver Carp,Kilogram,150.0,180.0,165.0,Quintal,12000.0,12000.0,12000.0
2013-04-23,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,12000.0,12000.0,12000.0
2013-04-24,Fish,Silver Carp,Kilogram,129.0,177.0,153.0,Quintal,15246.0,15246.0,15246.0
2013-04-25,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,12500.0,12500.0,12500.0
2013-04-26,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-27,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-04-28,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-04-29,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-04-30,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-01,Fish,Silver Carp,Kilogram,120.0,173.0,146.5,Quintal,15333.0,15333.0,15333.0
2013-05-02,Fish,Silver Carp,Kilogram,133.0,189.0,161.0,Quintal,16571.0,16571.0,16571.0
2013-05-03,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-05-04,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-05-05,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-06,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-07,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-08,Fish,Silver Carp,Kilogram,132.0,182.0,157.0,Quintal,15443.0,15443.0,15443.0
2013-05-09,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-10,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-05-11,Fish,Silver Carp,Kilogram,,,,Quintal,,,
2013-05-12,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
2013-05-13,Fish,Silver Carp,Kilogram,150.0,200.0,175.0,Quintal,15000.0,15000.0,15000.0
