,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fish,Singhi,Kilogram,525.0,675.0,600.0,Quintal,50000.0,50000.0,50000.0
2013-01-03,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-04,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-07,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-08,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-09,Fish,Singhi,Kilogram,525.0,675.0,600.0,Quintal,50000.0,50000.0,50000.0
2013-01-10,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-11,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-14,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-15,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-16,Fish,Singhi,Kilogram,476.0,610.0,543.0,Quintal,47000.0,47000.0,47000.0
2013-01-17,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-18,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-21,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-22,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-23,Fish,Singhi,Kilogram,520.0,588.0,554.0,Quintal,47000.0,47000.0,47000.0
2013-01-24,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-25,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-28,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-29,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-01-30,Fish,Singhi,Kilogram,508.0,588.0,548.0,Quintal,47000.0,47000.0,47000.0
2013-01-31,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-01,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-05,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-06,Fish,Singhi,Kilogram,520.0,588.0,554.0,Quintal,47000.0,47000.0,47000.0
2013-02-07,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-08,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-11,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-12,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Singhi,Kilogram,520.0,588.0,554.0,Quintal,47000.0,47000.0,47000.0
2013-02-14,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-15,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-17,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-18,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-19,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-20,Fish,Singhi,Kilogram,425.0,550.0,487.5,Quintal,45000.0,45000.0,45000.0
2013-02-21,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-22,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-23,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-24,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-25,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-26,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-02-27,Fish,Singhi,Kilogram,490.0,550.0,520.0,Quintal,47000.0,47000.0,47000.0
2013-02-28,Fish,Singhi,Kilogram,350.0,500.0,425.0,Quintal,40000.0,40000.0,40000.0
2013-03-01,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-02,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-03,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-04,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-05,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-06,Fish,Singhi,Kilogram,500.0,600.0,550.0,Quintal,50000.0,50000.0,50000.0
2013-03-07,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-08,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-09,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-10,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-11,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-12,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-13,Fish,Singhi,Kilogram,490.0,550.0,520.0,Quintal,47000.0,47000.0,47000.0
2013-03-14,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-15,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-16,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-17,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-18,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-19,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-20,Fish,Singhi,Kilogram,500.0,600.0,550.0,Quintal,50000.0,50000.0,50000.0
2013-03-21,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-22,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-23,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-24,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-25,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-26,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-27,Fish,Singhi,Kilogram,490.0,550.0,520.0,Quintal,47000.0,47000.0,47000.0
2013-03-28,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-29,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-30,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-03-31,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-01,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-02,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-03,Fish,Singhi,Kilogram,500.0,600.0,550.0,Quintal,47000.0,47000.0,47000.0
2013-04-04,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-05,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-06,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-07,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-08,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-09,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-10,Fish,Singhi,Kilogram,500.0,700.0,600.0,Quintal,60000.0,60000.0,60000.0
2013-04-11,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-12,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-13,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-14,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-15,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-16,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-17,Fish,Singhi,Kilogram,500.0,700.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-04-18,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-19,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-20,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-21,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-22,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-23,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-24,Fish,Singhi,Kilogram,500.0,700.0,600.0,Quintal,52000.0,52000.0,52000.0
2013-04-25,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-26,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-27,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-28,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-29,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-04-30,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-01,Fish,Singhi,Kilogram,500.0,700.0,600.0,Quintal,60000.0,60000.0,60000.0
2013-05-02,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-03,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-04,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-05,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-06,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-07,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-08,Fish,Singhi,Kilogram,470.0,500.0,485.0,Quintal,48000.0,48000.0,48000.0
2013-05-09,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-10,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-11,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-12,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-13,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-14,Fish,Singhi,Kilogram,,,,Quintal,,,
2013-05-15,Fish,Singhi,Kilogram,480.0,700.0,590.0,Quintal,47000.0,47000.0,47000.0
