,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-02,Fish,Telapia/Nilotica,Kilogram,123.0,150.0,136.5,Quintal,12821.0,12821.0,12821.0
2013-01-03,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-04,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-05,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-06,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-07,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-08,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-09,Fish,Telapia/Nilotica,Kilogram,121.0,149.0,135.0,Quintal,12808.0,12808.0,12808.0
2013-01-10,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-11,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-12,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-13,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-14,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-15,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-16,Fish,Telapia/Nilotica,Kilogram,120.0,149.0,134.5,Quintal,12780.0,12780.0,12780.0
2013-01-17,Fish,Telapia/Nilotica,Kilogram,130.0,160.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-01-18,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-19,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-20,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-21,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-22,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-23,Fish,Telapia/Nilotica,Kilogram,120.0,148.0,134.0,Quintal,12907.0,12907.0,12907.0
2013-01-24,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-25,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-26,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-01-27,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-28,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,12000.0,12000.0,12000.0
2013-01-29,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-01-30,Fish,Telapia/Nilotica,Kilogram,120.0,147.0,133.5,Quintal,13106.0,13106.0,13106.0
2013-01-31,Fish,Telapia/Nilotica,Kilogram,120.0,160.0,140.0,Quintal,13000.0,13000.0,13000.0
2013-02-01,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-02,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-03,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-04,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,13000.0,13000.0,13000.0
2013-02-05,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,13000.0,13000.0,13000.0
2013-02-06,Fish,Telapia/Nilotica,Kilogram,125.0,152.0,138.5,Quintal,13479.0,13479.0,13479.0
2013-02-07,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,14000.0,14000.0,14000.0
2013-02-08,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-09,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-10,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,14000.0,14000.0,14000.0
2013-02-11,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,14000.0,14000.0,14000.0
2013-02-12,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-13,Fish,Telapia/Nilotica,Kilogram,125.0,154.0,139.5,Quintal,13362.0,13362.0,13362.0
2013-02-14,Fish,Telapia/Nilotica,Kilogram,130.0,170.0,150.0,Quintal,14000.0,14000.0,14000.0
2013-02-15,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
2013-02-16,Fish,Telapia/Nilotica,Kilogram,,,,Quintal,,,
