,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Aman-Fine,Kilogram,37.0,39.0,38.0,Quintal,3517.0,3517.0,3517.0
2013-01-03,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Aman-Fine,Kilogram,37.0,38.0,37.5,Quintal,3575.0,3575.0,3575.0
2013-01-10,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Aman-Fine,Kilogram,39.0,41.0,40.0,Quintal,3813.0,3813.0,3813.0
2013-01-17,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Aman-Fine,Kilogram,40.0,42.0,41.0,Quintal,4100.0,4100.0,4100.0
2013-01-24,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Aman-Fine,Kilogram,40.0,42.0,41.0,Quintal,4000.0,4000.0,4000.0
2013-01-31,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Aman-Fine,Kilogram,,,,Quintal,,,
