,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2573.0,2573.0,2573.0
2013-01-02,Foodgrains,Aman-HYV-Coarse,Kilogram,17.0,18.0,17.5,Quintal,1437.0,1437.0,1437.0
2013-01-03,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2586.0,2586.0,2586.0
2013-01-04,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2586.0,2586.0,2586.0
2013-01-07,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2625.0,2625.0,2625.0
2013-01-08,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2625.0,2625.0,2625.0
2013-01-09,Foodgrains,Aman-HYV-Coarse,Kilogram,18.0,19.0,18.5,Quintal,1500.0,1500.0,1500.0
2013-01-10,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2653.0,2653.0,2653.0
2013-01-11,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2653.0,2653.0,2653.0
2013-01-14,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2680.0,2680.0,2680.0
2013-01-15,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2680.0,2680.0,2680.0
2013-01-16,Foodgrains,Aman-HYV-Coarse,Kilogram,18.0,19.0,18.5,Quintal,1598.0,1598.0,1598.0
2013-01-17,Foodgrains,Aman-HYV-Coarse,Kilogram,28.0,30.0,29.0,Quintal,2710.0,2710.0,2710.0
2013-01-18,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Aman-HYV-Coarse,Kilogram,,,,Quintal,,,
