,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3202.0,3202.0,3202.0
2013-01-02,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,1572.0,1572.0,1572.0
2013-01-03,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3215.0,3215.0,3215.0
2013-01-04,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3215.0,3215.0,3215.0
2013-01-07,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3215.0,3215.0,3215.0
2013-01-08,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3215.0,3215.0,3215.0
2013-01-09,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,1610.0,1610.0,1610.0
2013-01-10,Foodgrains,Aman-HYV-Medium,Kilogram,30.0,35.0,32.5,Quintal,3215.0,3215.0,3215.0
2013-01-11,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Aman-HYV-Medium,Kilogram,32.0,37.0,34.5,Quintal,3350.0,3350.0,3350.0
2013-01-14,Foodgrains,Aman-HYV-Medium,Kilogram,32.0,37.0,34.5,Quintal,3484.0,3484.0,3484.0
2013-01-15,Foodgrains,Aman-HYV-Medium,Kilogram,32.0,38.0,35.0,Quintal,3484.0,3484.0,3484.0
2013-01-16,Foodgrains,Aman-HYV-Medium,Kilogram,,,,Quintal,1765.0,1765.0,1765.0
