,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Aman-Medium,Kilogram,28.0,30.0,29.0,Quintal,2667.0,2667.0,2667.0
2013-01-03,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Aman-Medium,Kilogram,28.0,30.0,29.0,Quintal,2775.0,2775.0,2775.0
2013-01-10,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Aman-Medium,Kilogram,30.0,31.0,30.5,Quintal,2938.0,2938.0,2938.0
2013-01-17,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Aman-Medium,Kilogram,29.0,31.0,30.0,Quintal,3025.0,3025.0,3025.0
2013-01-24,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Aman-Medium,Kilogram,31.0,33.0,32.0,Quintal,3133.0,3133.0,3133.0
2013-01-31,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Aman-Medium,Kilogram,31.0,34.0,32.5,Quintal,3167.0,3167.0,3167.0
2013-02-07,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-11,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-12,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3265.0,3265.0,3265.0
2013-02-14,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-15,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-19,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-20,Foodgrains,Aman-Medium,Kilogram,32.0,34.0,33.0,Quintal,3187.0,3187.0,3187.0
2013-02-21,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-25,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-02-27,Foodgrains,Aman-Medium,Kilogram,32.0,34.0,33.0,Quintal,3000.0,3000.0,3000.0
2013-02-28,Foodgrains,Aman-Medium,Kilogram,33.0,34.0,33.5,Quintal,3300.0,3300.0,3300.0
2013-03-01,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-04,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-05,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3315.0,3315.0,3315.0
2013-03-07,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-08,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-11,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-12,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-13,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3318.0,3318.0,3318.0
2013-03-14,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-15,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-16,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-17,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-18,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-19,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-20,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3318.0,3318.0,3318.0
2013-03-21,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-22,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-23,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-24,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-25,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-26,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-27,Foodgrains,Aman-Medium,Kilogram,32.0,35.0,33.5,Quintal,3250.0,3250.0,3250.0
2013-03-28,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-29,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-30,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-03-31,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-01,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-02,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-03,Foodgrains,Aman-Medium,Kilogram,32.0,35.0,33.5,Quintal,3267.0,3267.0,3267.0
2013-04-04,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-05,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-06,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-07,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-08,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-09,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-10,Foodgrains,Aman-Medium,Kilogram,32.0,34.0,33.0,Quintal,3267.0,3267.0,3267.0
2013-04-11,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-12,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-13,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-14,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-15,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-16,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-17,Foodgrains,Aman-Medium,Kilogram,32.0,35.0,33.5,Quintal,3333.0,3333.0,3333.0
2013-04-18,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-19,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-20,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-21,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-22,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-23,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-24,Foodgrains,Aman-Medium,Kilogram,32.0,35.0,33.5,Quintal,3333.0,3333.0,3333.0
2013-04-25,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-26,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-27,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-28,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-29,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-04-30,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-01,Foodgrains,Aman-Medium,Kilogram,29.0,30.0,29.5,Quintal,2900.0,2900.0,2900.0
2013-05-02,Foodgrains,Aman-Medium,Kilogram,34.0,38.0,36.0,Quintal,3600.0,3600.0,3600.0
2013-05-03,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-04,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-05,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-06,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-07,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-08,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3310.0,3310.0,3310.0
2013-05-09,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-10,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-11,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-12,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-13,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-14,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
2013-05-15,Foodgrains,Aman-Medium,Kilogram,33.0,35.0,34.0,Quintal,3238.0,3238.0,3238.0
2013-05-16,Foodgrains,Aman-Medium,Kilogram,,,,Quintal,,,
