,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3250.0,3250.0,3250.0
2013-01-02,Foodgrains,Ata (loose) - white,Kilogram,31.0,33.0,32.0,Quintal,3007.0,3007.0,3007.0
2013-01-03,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3250.0,3250.0,3250.0
2013-01-04,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3250.0,3250.0,3250.0
2013-01-07,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3260.0,3260.0,3260.0
2013-01-08,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3260.0,3260.0,3260.0
2013-01-09,Foodgrains,Ata (loose) - white,Kilogram,31.0,33.0,32.0,Quintal,2994.0,2994.0,2994.0
2013-01-10,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3180.0,3180.0,3180.0
2013-01-11,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3200.0,3200.0,3200.0
2013-01-14,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3180.0,3180.0,3180.0
2013-01-15,Foodgrains,Ata (loose) - white,Kilogram,33.0,35.0,34.0,Quintal,3180.0,3180.0,3180.0
2013-01-16,Foodgrains,Ata (loose) - white,Kilogram,31.0,33.0,32.0,Quintal,2997.0,2997.0,2997.0
2013-01-17,Foodgrains,Ata (loose) - white,Kilogram,33.0,36.0,34.5,Quintal,3180.0,3180.0,3180.0
2013-01-18,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Ata (loose) - white,Kilogram,33.0,36.0,34.5,Quintal,3160.0,3160.0,3160.0
2013-01-21,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3160.0,3160.0,3160.0
2013-01-22,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3150.0,3150.0,3150.0
2013-01-23,Foodgrains,Ata (loose) - white,Kilogram,31.0,33.0,32.0,Quintal,3035.0,3035.0,3035.0
2013-01-24,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3160.0,3160.0,3160.0
2013-01-25,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Ata (loose) - white,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3160.0,3160.0,3160.0
2013-01-28,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3160.0,3160.0,3160.0
2013-01-29,Foodgrains,Ata (loose) - white,Kilogram,34.0,36.0,35.0,Quintal,3200.0,3200.0,3200.0
