,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-02,Foodgrains,Ata (packet),Kilogram,36.0,38.0,37.0,Quintal,3579.0,3579.0,3579.0
2013-01-03,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-04,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-07,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-08,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-09,Foodgrains,Ata (packet),Kilogram,36.0,38.0,37.0,Quintal,3575.0,3575.0,3575.0
2013-01-10,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-11,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-14,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-15,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-16,Foodgrains,Ata (packet),Kilogram,37.0,39.0,38.0,Quintal,3591.0,3591.0,3591.0
2013-01-17,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-18,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-21,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-22,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-23,Foodgrains,Ata (packet),Kilogram,37.0,38.0,37.5,Quintal,3600.0,3600.0,3600.0
2013-01-24,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-25,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-28,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-29,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-01-30,Foodgrains,Ata (packet),Kilogram,37.0,38.0,37.5,Quintal,3583.0,3583.0,3583.0
2013-01-31,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-01,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-05,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-06,Foodgrains,Ata (packet),Kilogram,36.0,38.0,37.0,Quintal,3564.0,3564.0,3564.0
2013-02-07,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-08,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-11,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-12,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Ata (packet),Kilogram,37.0,38.0,37.5,Quintal,3587.0,3587.0,3587.0
2013-02-14,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-15,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-19,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-20,Foodgrains,Ata (packet),Kilogram,36.0,38.0,37.0,Quintal,3577.0,3577.0,3577.0
2013-02-21,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3700.0,3700.0,3700.0
2013-02-25,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Ata (packet),Kilogram,38.0,40.0,39.0,Quintal,3750.0,3750.0,3750.0
2013-02-27,Foodgrains,Ata (packet),Kilogram,36.0,38.0,37.0,Quintal,3567.0,3567.0,3567.0
2013-02-28,Foodgrains,Ata (packet),Kilogram,38.0,39.0,38.5,Quintal,3635.0,3635.0,3635.0
2013-03-01,Foodgrains,Ata (packet),Kilogram,,,,Quintal,,,
