,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2014-01-04,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,2375.0,2375.0,2375.0
2014-01-05,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-06,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-07,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-08,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-09,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-10,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-11,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-12,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-13,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-14,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-15,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-16,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-17,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-18,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-19,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-20,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-21,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-22,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-23,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-24,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-25,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-26,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-27,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-28,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-29,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-30,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-01-31,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-02-01,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-02-02,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
2014-02-03,Foodgrains,Boro-Coarse,Kilogram,,,,Quintal,,,
