,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,1960.0,1960.0,1960.0
2013-01-03,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2230.0,2230.0,2230.0
2013-01-10,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2420.0,2420.0,2420.0
2013-01-17,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2420.0,2420.0,2420.0
2013-01-24,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2550.0,2550.0,2550.0
2013-01-31,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2600.0,2600.0,2600.0
2013-02-07,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-11,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-12,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2680.0,2680.0,2680.0
2013-02-14,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-15,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-19,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-20,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2650.0,2650.0,2650.0
2013-02-21,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-25,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-27,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-02-28,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-01,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-04,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-05,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2620.0,2620.0,2620.0
2013-03-07,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-08,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-11,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-12,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-13,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2620.0,2620.0,2620.0
2013-03-14,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-15,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-16,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-17,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-18,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-19,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-20,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2620.0,2620.0,2620.0
2013-03-21,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-22,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-23,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-24,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-25,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-26,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-27,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2550.0,2550.0,2550.0
2013-03-28,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-29,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-30,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-03-31,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-04-01,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-04-02,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-04-03,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,2550.0,2550.0,2550.0
2013-04-04,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
2013-04-05,Foodgrains,Boro-Fine,Kilogram,,,,Quintal,,,
