,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Boro-HYV-Fine,Kilogram,36.0,39.0,37.5,Quintal,3705.0,3705.0,3705.0
2013-01-03,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Boro-HYV-Fine,Kilogram,38.0,40.0,39.0,Quintal,3756.0,3756.0,3756.0
2013-01-10,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Boro-HYV-Fine,Kilogram,41.0,44.0,42.5,Quintal,4040.0,4040.0,4040.0
2013-01-17,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Boro-HYV-Fine,Kilogram,41.0,43.0,42.0,Quintal,4033.0,4033.0,4033.0
2013-01-24,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Boro-HYV-Fine,Kilogram,41.0,44.0,42.5,Quintal,4144.0,4144.0,4144.0
2013-01-31,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Boro-HYV-Fine,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Boro-HYV-Fine,Kilogram,42.0,45.0,43.5,Quintal,4228.0,4228.0,4228.0
