,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Boro-HYV-Medium,Kilogram,31.0,33.0,32.0,Quintal,3017.0,3017.0,3017.0
2013-01-03,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Boro-HYV-Medium,Kilogram,32.0,34.0,33.0,Quintal,3146.0,3146.0,3146.0
2013-01-10,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Boro-HYV-Medium,Kilogram,33.0,36.0,34.5,Quintal,3418.0,3418.0,3418.0
2013-01-17,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Boro-HYV-Medium,Kilogram,34.0,37.0,35.5,Quintal,3483.0,3483.0,3483.0
2013-01-24,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Boro-HYV-Medium,Kilogram,35.0,37.0,36.0,Quintal,3571.0,3571.0,3571.0
2013-01-31,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Boro-HYV-Medium,Kilogram,35.0,38.0,36.5,Quintal,3576.0,3576.0,3576.0
2013-02-07,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Boro-HYV-Medium,Kilogram,,,,Quintal,,,
