,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,1817.0,1817.0,1817.0
2013-01-03,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,1863.0,1863.0,1863.0
2013-01-10,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2069.0,2069.0,2069.0
2013-01-17,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2181.0,2181.0,2181.0
2013-01-24,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2240.0,2240.0,2240.0
2013-01-31,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2217.0,2217.0,2217.0
2013-02-07,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-11,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-12,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2168.0,2168.0,2168.0
2013-02-14,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-15,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-19,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-20,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2248.0,2248.0,2248.0
2013-02-21,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-25,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-02-27,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2235.0,2235.0,2235.0
2013-02-28,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-01,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-04,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-05,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2256.0,2256.0,2256.0
2013-03-07,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-08,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-11,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-12,Foodgrains,Boro-Medium,Kilogram,,,,Quintal,,,
2013-03-13,Foodgrains,Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2240.0,2240.0,2240.0
