,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Chinigura,Kilogram,95.0,100.0,97.5,Quintal,9112.0,9112.0,9112.0
2013-01-02,Foodgrains,Chinigura,Kilogram,92.0,97.0,94.5,Quintal,9051.0,9051.0,9051.0
2013-01-03,Foodgrains,Chinigura,Kilogram,95.0,100.0,97.5,Quintal,9000.0,9000.0,9000.0
2013-01-04,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Chinigura,Kilogram,95.0,100.0,97.5,Quintal,9000.0,9000.0,9000.0
2013-01-07,Foodgrains,Chinigura,Kilogram,95.0,100.0,97.5,Quintal,9112.0,9112.0,9112.0
2013-01-08,Foodgrains,Chinigura,Kilogram,95.0,100.0,97.5,Quintal,9112.0,9112.0,9112.0
2013-01-09,Foodgrains,Chinigura,Kilogram,91.0,96.0,93.5,Quintal,9055.0,9055.0,9055.0
2013-01-10,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9139.0,9139.0,9139.0
2013-01-11,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9380.0,9380.0,9380.0
2013-01-14,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9650.0,9650.0,9650.0
2013-01-15,Foodgrains,Chinigura,Kilogram,105.0,110.0,107.5,Quintal,9650.0,9650.0,9650.0
2013-01-16,Foodgrains,Chinigura,Kilogram,93.0,99.0,96.0,Quintal,9201.0,9201.0,9201.0
2013-01-17,Foodgrains,Chinigura,Kilogram,105.0,115.0,110.0,Quintal,9590.0,9590.0,9590.0
2013-01-18,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9650.0,9650.0,9650.0
2013-01-21,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-01-22,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-01-23,Foodgrains,Chinigura,Kilogram,92.0,97.0,94.5,Quintal,9204.0,9204.0,9204.0
2013-01-24,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9810.0,9810.0,9810.0
2013-01-25,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-01-28,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-01-29,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-01-30,Foodgrains,Chinigura,Kilogram,92.0,96.0,94.0,Quintal,9204.0,9204.0,9204.0
2013-01-31,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-02-01,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-02-05,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-06,Foodgrains,Chinigura,Kilogram,92.0,97.0,94.5,Quintal,9278.0,9278.0,9278.0
2013-02-07,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-08,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9780.0,9780.0,9780.0
2013-02-11,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-12,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Chinigura,Kilogram,93.0,97.0,95.0,Quintal,9220.0,9220.0,9220.0
2013-02-14,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-15,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-19,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-20,Foodgrains,Chinigura,Kilogram,92.0,97.0,94.5,Quintal,9364.0,9364.0,9364.0
2013-02-21,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,9780.0,9780.0,9780.0
2013-02-25,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,9790.0,9790.0,9790.0
2013-02-27,Foodgrains,Chinigura,Kilogram,92.0,97.0,94.5,Quintal,9396.0,9396.0,9396.0
2013-02-28,Foodgrains,Chinigura,Kilogram,98.0,103.0,100.5,Quintal,9630.0,9630.0,9630.0
2013-03-01,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,,,
2013-03-04,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,,,
2013-03-05,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Chinigura,Kilogram,93.0,97.0,95.0,Quintal,9425.0,9425.0,9425.0
2013-03-07,Foodgrains,Chinigura,Kilogram,100.0,105.0,102.5,Quintal,,,
2013-03-08,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-11,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-12,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,,,
2013-03-13,Foodgrains,Chinigura,Kilogram,94.0,98.0,96.0,Quintal,9389.0,9389.0,9389.0
2013-03-14,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-15,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-16,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-17,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-18,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-19,Foodgrains,Chinigura,Kilogram,100.0,110.0,105.0,Quintal,,,
2013-03-20,Foodgrains,Chinigura,Kilogram,93.0,98.0,95.5,Quintal,9383.0,9383.0,9383.0
2013-03-21,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-22,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-23,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-24,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
2013-03-25,Foodgrains,Chinigura,Kilogram,,,,Quintal,,,
