,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Chira,Kilogram,34.0,37.0,35.5,Quintal,3330.0,3330.0,3330.0
2013-01-03,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Chira,Kilogram,34.0,37.0,35.5,Quintal,3244.0,3244.0,3244.0
2013-01-10,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Chira,Kilogram,34.0,36.0,35.0,Quintal,3185.0,3185.0,3185.0
2013-01-17,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Chira,Kilogram,34.0,36.0,35.0,Quintal,3161.0,3161.0,3161.0
2013-01-24,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Chira,Kilogram,35.0,37.0,36.0,Quintal,3202.0,3202.0,3202.0
2013-01-31,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Chira,Kilogram,35.0,37.0,36.0,Quintal,3236.0,3236.0,3236.0
2013-02-07,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-11,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-12,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Chira,Kilogram,35.0,37.0,36.0,Quintal,3255.0,3255.0,3255.0
2013-02-14,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-15,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-19,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-20,Foodgrains,Chira,Kilogram,34.0,36.0,35.0,Quintal,3272.0,3272.0,3272.0
2013-02-21,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-25,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-02-27,Foodgrains,Chira,Kilogram,34.0,36.0,35.0,Quintal,3250.0,3250.0,3250.0
2013-02-28,Foodgrains,Chira,Kilogram,38.0,40.0,39.0,Quintal,3200.0,3200.0,3200.0
2013-03-01,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-04,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-05,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Chira,Kilogram,34.0,37.0,35.5,Quintal,3360.0,3360.0,3360.0
2013-03-07,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-08,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Chira,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Chira,Kilogram,,,,Quintal,,,
