,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-02,Foodgrains,Flour (loose),Kilogram,37.0,40.0,38.5,Quintal,3754.0,3754.0,3754.0
2013-01-03,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-04,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-07,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-08,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-09,Foodgrains,Flour (loose),Kilogram,37.0,40.0,38.5,Quintal,3773.0,3773.0,3773.0
2013-01-10,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-11,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3900.0,3900.0,3900.0
2013-01-14,Foodgrains,Flour (loose),Kilogram,40.0,41.0,40.5,Quintal,3860.0,3860.0,3860.0
2013-01-15,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3850.0,3850.0,3850.0
2013-01-16,Foodgrains,Flour (loose),Kilogram,38.0,40.0,39.0,Quintal,3801.0,3801.0,3801.0
2013-01-17,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-18,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-21,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-22,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-23,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3838.0,3838.0,3838.0
2013-01-24,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3900.0,3900.0,3900.0
2013-01-25,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-28,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3860.0,3860.0,3860.0
2013-01-29,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3900.0,3900.0,3900.0
2013-01-30,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3805.0,3805.0,3805.0
2013-01-31,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3840.0,3840.0,3840.0
2013-02-01,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3840.0,3840.0,3840.0
2013-02-05,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3840.0,3840.0,3840.0
2013-02-06,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3861.0,3861.0,3861.0
2013-02-07,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3750.0,3750.0,3750.0
2013-02-08,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3750.0,3750.0,3750.0
2013-02-11,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3750.0,3750.0,3750.0
2013-02-12,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3820.0,3820.0,3820.0
2013-02-14,Foodgrains,Flour (loose),Kilogram,40.0,42.0,41.0,Quintal,3770.0,3770.0,3770.0
2013-02-15,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Flour (loose),Kilogram,39.0,42.0,40.5,Quintal,3800.0,3800.0,3800.0
2013-02-19,Foodgrains,Flour (loose),Kilogram,39.0,42.0,40.5,Quintal,3800.0,3800.0,3800.0
2013-02-20,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3837.0,3837.0,3837.0
2013-02-21,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Flour (loose),Kilogram,38.0,42.0,40.0,Quintal,3800.0,3800.0,3800.0
2013-02-25,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Flour (loose),Kilogram,38.0,42.0,40.0,Quintal,3800.0,3800.0,3800.0
2013-02-27,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3854.0,3854.0,3854.0
2013-02-28,Foodgrains,Flour (loose),Kilogram,36.0,41.0,38.5,Quintal,3825.0,3825.0,3825.0
2013-03-01,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Flour (loose),Kilogram,38.0,42.0,40.0,Quintal,,,
2013-03-04,Foodgrains,Flour (loose),Kilogram,38.0,42.0,40.0,Quintal,,,
2013-03-05,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Flour (loose),Kilogram,38.0,41.0,39.5,Quintal,3826.0,3826.0,3826.0
2013-03-07,Foodgrains,Flour (loose),Kilogram,38.0,42.0,40.0,Quintal,,,
2013-03-08,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Flour (loose),Kilogram,,,,Quintal,,,
