,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-02,Foodgrains,Flour (packet),Kilogram,45.0,47.0,46.0,Quintal,4438.0,4438.0,4438.0
2013-01-03,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-04,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-07,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-08,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-09,Foodgrains,Flour (packet),Kilogram,45.0,46.0,45.5,Quintal,4443.0,4443.0,4443.0
2013-01-10,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-11,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-14,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-15,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-16,Foodgrains,Flour (packet),Kilogram,45.0,47.0,46.0,Quintal,4463.0,4463.0,4463.0
2013-01-17,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-18,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-21,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-22,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-23,Foodgrains,Flour (packet),Kilogram,45.0,47.0,46.0,Quintal,4500.0,4500.0,4500.0
2013-01-24,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-25,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-28,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-29,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-01-30,Foodgrains,Flour (packet),Kilogram,45.0,47.0,46.0,Quintal,4380.0,4380.0,4380.0
2013-01-31,Foodgrains,Flour (packet),Kilogram,47.0,48.0,47.5,Quintal,4600.0,4600.0,4600.0
2013-02-01,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Flour (packet),Kilogram,46.0,48.0,47.0,Quintal,4600.0,4600.0,4600.0
2013-02-05,Foodgrains,Flour (packet),Kilogram,46.0,48.0,47.0,Quintal,4600.0,4600.0,4600.0
2013-02-06,Foodgrains,Flour (packet),Kilogram,45.0,47.0,46.0,Quintal,4456.0,4456.0,4456.0
2013-02-07,Foodgrains,Flour (packet),Kilogram,46.0,48.0,47.0,Quintal,4600.0,4600.0,4600.0
2013-02-08,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Flour (packet),Kilogram,46.0,48.0,47.0,Quintal,4600.0,4600.0,4600.0
2013-02-11,Foodgrains,Flour (packet),Kilogram,46.0,48.0,47.0,Quintal,4600.0,4600.0,4600.0
2013-02-12,Foodgrains,Flour (packet),Kilogram,,,,Quintal,,,
