,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Flour-Suji,Kilogram,44.0,45.0,44.5,Quintal,4306.0,4306.0,4306.0
2013-01-03,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Flour-Suji,Kilogram,44.0,45.0,44.5,Quintal,4428.0,4428.0,4428.0
2013-01-10,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Flour-Suji,Kilogram,45.0,46.0,45.5,Quintal,4470.0,4470.0,4470.0
2013-01-17,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Flour-Suji,Kilogram,44.0,46.0,45.0,Quintal,4450.0,4450.0,4450.0
2013-01-24,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Flour-Suji,Kilogram,45.0,46.0,45.5,Quintal,4465.0,4465.0,4465.0
2013-01-31,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-05,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-06,Foodgrains,Flour-Suji,Kilogram,45.0,46.0,45.5,Quintal,4424.0,4424.0,4424.0
2013-02-07,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-08,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-11,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-12,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Flour-Suji,Kilogram,44.0,46.0,45.0,Quintal,4406.0,4406.0,4406.0
2013-02-14,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-15,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-19,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-20,Foodgrains,Flour-Suji,Kilogram,45.0,47.0,46.0,Quintal,4433.0,4433.0,4433.0
2013-02-21,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-25,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-02-27,Foodgrains,Flour-Suji,Kilogram,46.0,48.0,47.0,Quintal,4671.0,4671.0,4671.0
2013-02-28,Foodgrains,Flour-Suji,Kilogram,36.0,38.0,37.0,Quintal,3300.0,3300.0,3300.0
2013-03-01,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-02,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-03,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-04,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-05,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-06,Foodgrains,Flour-Suji,Kilogram,47.0,49.0,48.0,Quintal,4700.0,4700.0,4700.0
2013-03-07,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-08,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-09,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
2013-03-10,Foodgrains,Flour-Suji,Kilogram,,,,Quintal,,,
