,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8580.0,8580.0,8580.0
2013-01-02,Foodgrains,Kalojira,Kilogram,88.0,93.0,90.5,Quintal,8412.0,8412.0,8412.0
2013-01-03,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8580.0,8580.0,8580.0
2013-01-04,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8580.0,8580.0,8580.0
2013-01-07,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8580.0,8580.0,8580.0
2013-01-08,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8580.0,8580.0,8580.0
2013-01-09,Foodgrains,Kalojira,Kilogram,85.0,90.0,87.5,Quintal,8444.0,8444.0,8444.0
2013-01-10,Foodgrains,Kalojira,Kilogram,90.0,95.0,92.5,Quintal,8600.0,8600.0,8600.0
2013-01-11,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Kalojira,Kilogram,90.0,95.0,92.5,Quintal,8920.0,8920.0,8920.0
2013-01-14,Foodgrains,Kalojira,Kilogram,90.0,95.0,92.5,Quintal,9250.0,9250.0,9250.0
2013-01-15,Foodgrains,Kalojira,Kilogram,90.0,98.0,94.0,Quintal,9250.0,9250.0,9250.0
2013-01-16,Foodgrains,Kalojira,Kilogram,88.0,93.0,90.5,Quintal,8727.0,8727.0,8727.0
2013-01-17,Foodgrains,Kalojira,Kilogram,90.0,100.0,95.0,Quintal,9180.0,9180.0,9180.0
2013-01-18,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Kalojira,Kilogram,95.0,98.0,96.5,Quintal,9180.0,9180.0,9180.0
2013-01-21,Foodgrains,Kalojira,Kilogram,95.0,98.0,96.5,Quintal,9250.0,9250.0,9250.0
2013-01-22,Foodgrains,Kalojira,Kilogram,95.0,98.0,96.5,Quintal,9250.0,9250.0,9250.0
2013-01-23,Foodgrains,Kalojira,Kilogram,88.0,92.0,90.0,Quintal,8842.0,8842.0,8842.0
2013-01-24,Foodgrains,Kalojira,Kilogram,95.0,98.0,96.5,Quintal,9250.0,9250.0,9250.0
2013-01-25,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Kalojira,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Kalojira,Kilogram,90.0,98.0,94.0,Quintal,9250.0,9250.0,9250.0
2013-01-28,Foodgrains,Kalojira,Kilogram,90.0,98.0,94.0,Quintal,9250.0,9250.0,9250.0
2013-01-29,Foodgrains,Kalojira,Kilogram,90.0,98.0,94.0,Quintal,9250.0,9250.0,9250.0
