,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Kataribhog,Kilogram,70.0,73.0,71.5,Quintal,6844.0,6844.0,6844.0
2013-01-03,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Kataribhog,Kilogram,69.0,72.0,70.5,Quintal,6789.0,6789.0,6789.0
2013-01-10,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Kataribhog,Kilogram,72.0,75.0,73.5,Quintal,6967.0,6967.0,6967.0
2013-01-17,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Kataribhog,Kilogram,70.0,73.0,71.5,Quintal,7030.0,7030.0,7030.0
2013-01-24,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-28,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-29,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-01-30,Foodgrains,Kataribhog,Kilogram,71.0,73.0,72.0,Quintal,7073.0,7073.0,7073.0
2013-01-31,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-02-01,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Kataribhog,Kilogram,,,,Quintal,,,
